time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
0.71,stage1,True,0.0,0.05,-444422254550735.4,0.0,0.0,100000.0,21000000.0
0.72,stage1,True,0.0,0.05,812023218180628.9,0.0,0.0,21000000.0,100000.0
0.73,stage1,True,0.0,0.05,-1483682916668946.0,0.0,0.0,100000.0,21000000.0
0.74,stage1,True,0.0,0.05,2710901545583152.5,0.0,0.0,21000000.0,100000.0
0.75,stage1,True,0.0,0.05,-4953206043744522.0,0.0,0.0,100000.0,21000000.0
0.76,stage1,True,0.0,0.05,9050218054492132.0,0.0,0.0,21000000.0,100000.0
0.77,stage1,True,0.0,0.05,-1.6536046776672296e+16,0.0,0.0,100000.0,21000000.0
0.78,stage1,True,0.0,0.05,3.021372980782161e+16,0.0,0.0,21000000.0,100000.0
0.79,stage1,True,0.0,0.05,-5.5204818976918344e+16,0.0,0.0,100000.0,21000000.0
0.8,stage1,True,0.0,0.05,1.0086712423983414e+17,0.0,0.0,21000000.0,100000.0
0.81,stage1,True,0.0,0.05,-1.8429870690578774e+17,0.0,0.0,100000.0,21000000.0
0.82,stage1,True,0.0,0.05,3.3674017796306125e+17,0.0,0.0,21000000.0,100000.0
0.83,stage1,True,0.0,0.05,-6.152726156270168e+17,0.0,0.0,100000.0,21000000.0
0.84,stage1,True,0.0,0.05,1.1241913389439067e+18,0.0,0.0,21000000.0,100000.0
0.85,stage1,True,0.0,0.05,-2.0540588585574692e+18,0.0,0.0,100000.0,21000000.0
0.86,stage1,True,0.0,0.05,3.753060220497689e+18,0.0,0.0,21000000.0,100000.0
0.87,stage1,True,0.0,0.05,-6.857379456289849e+18,0.0,0.0,100000.0,21000000.0
0.88,stage1,True,0.0,0.05,1.2529416061783925e+19,0.0,0.0,21000000.0,100000.0
0.89,stage1,True,0.0,0.05,-2.289304067974469e+19,0.0,0.0,100000.0,21000000.0
0.9,stage1,True,0.0,0.05,4.182886967597636e+19,0.0,0.0,21000000.0,100000.0
0.91,stage1,True,0.0,0.05,-7.642734588410857e+19,0.0,0.0,100000.0,21000000.0
0.92,stage1,True,0.0,0.05,1.3964372559280313e+20,0.0,0.0,21000000.0,100000.0
0.93,stage1,True,0.0,0.05,-2.551491206695532e+20,0.0,0.0,100000.0,21000000.0
0.94,stage1,True,0.0,0.05,4.661940484764503e+20,0.0,0.0,21000000.0,100000.0
0.95,stage1,True,0.0,0.05,-8.518034091771442e+20,0.0,0.0,100000.0,21000000.0
0.96,stage1,True,0.0,0.05,1.5563670326916303e+21,0.0,0.0,21000000.0,100000.0
0.97,stage1,True,0.0,0.05,-2.84370585319601e+21,0.0,0.0,100000.0,21000000.0
0.98,stage1,True,0.0,0.05,5.195858566546418e+21,0.0,0.0,21000000.0,100000.0
0.99,stage1,True,0.0,0.05,-9.49357902583779e+21,0.0,0.0,100000.0,21000000.0
1.0,stage1,True,0.0,0.05,1.734613087818007e+22,0.0,0.0,21000000.0,100000.0
