time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
1.03,stage1,True,0.0,0.05,-1.0459232671379271e+25,1.0,-0.24999999999999456,100000.0,21000000.0
1.04,stage1,True,0.0,0.05,1.9110518626253398e+25,-1.0,-0.4999999999999948,21000000.0,100000.0
1.05,stage1,True,0.0,0.05,-3.4917659224060203e+25,1.0,-0.24999999999999456,100000.0,21000000.0
1.06,stage1,True,0.0,0.05,6.379957287044218e+25,-1.0,-0.4999999999999948,21000000.0,100000.0
1.07,stage1,True,0.0,0.05,-1.1657097265117187e+26,1.0,-0.24999999999999456,100000.0,21000000.0
1.08,stage1,True,0.0,0.05,2.1299189090865906e+26,-1.0,-0.4999999999999948,21000000.0,100000.0
1.09,stage1,True,0.0,0.05,-3.891667416089804e+26,1.0,-0.24999999999999456,100000.0,21000000.0
1.1,stage1,True,0.0,0.05,7.110634687942189e+26,-1.0,-0.4999999999999948,21000000.0,100000.0
1.11,stage1,True,0.0,0.05,-1.2992149703318827e+27,1.0,-0.24999999999999456,100000.0,21000000.0
1.12,stage1,True,0.0,0.05,2.3738521428991714e+27,-1.0,-0.4999999999999948,21000000.0,100000.0
1.13,stage1,True,0.0,0.05,-4.3373684301890385e+27,1.0,-0.2500000000000001,100000.0,21000000.0
1.14,stage1,True,0.0,0.05,7.924994383275654e+27,-1.0,-0.5000000000000002,21000000.0,100000.0
1.15,stage1,True,0.0,0.05,-1.4480101698948993e+28,1.0,-0.25,100000.0,21000000.0
1.16,stage1,True,0.0,0.05,2.6457223194301233e+28,-1.0,-0.5000000000000002,21000000.0,100000.0
1.17,stage1,True,0.0,0.05,-4.834114246613862e+28,1.0,-0.25,100000.0,21000000.0
1.18,stage1,True,0.0,0.05,8.832620255608927e+28,-1.0,-0.5000000000000002,21000000.0,100000.0
1.19,stage1,True,0.0,0.05,-1.6138464380406423e+29,1.0,-0.25,100000.0,21000000.0
1.2,stage1,True,0.0,0.05,2.9487289730615894e+29,-1.0,-0.5000000000000002,21000000.0,100000.0
1.21,stage1,True,0.0,0.05,-5.38775087370108e+29,1.0,-0.25,100000.0,21000000.0
1.22,stage1,True,0.0,0.05,9.844193800872752e+29,-1.0,-0.5000000000000002,21000000.0,100000.0
1.23,stage1,True,0.0,0.05,-1.7986754373178932e+30,1.0,-0.25,100000.0,21000000.0
1.24,stage1,True,0.0,0.05,3.286438071265816e+30,-1.0,-0.5000000000000002,21000000.0,100000.0
1.25,stage1,True,0.0,0.05,-6.004793845615011e+30,1.0,-0.25,100000.0,21000000.0
1.26,stage1,True,0.0,0.05,1.0971619834737322e+31,-1.0,-0.5000000000000002,21000000.0,100000.0
1.27,stage1,True,0.0,0.05,-2.004672348342252e+31,1.0,-0.25,100000.0,21000000.0
