time,stage_id,ambient_temp_C,driver_power_request_W_profile,soc,T_core_C,voltage_V,current_A,pump_cmd,fan_cmd,mode,coolant_in_temp_C,coolant_flow_kgps,T_surface_C
627.3,stage1,35.0,25000,0.8,30.07551681087423,381.184,0.0,0.0,0.0,0,35.0,1.0982463113802703e-189,31.954641968352302
627.4,stage1,35.0,25000,0.8,30.075537415316745,381.184,0.0,0.0,0.0,0,35.0,1.0250298906215688e-189,31.954836949412755
627.5,stage1,35.0,25000,0.8,30.075558021671284,381.184,0.0,0.0,0.0,0,35.0,9.566945645801153e-190,31.955031904346416
627.6,stage1,35.0,25000,0.8,30.075578629937542,381.184,0.0,0.0,0.0,0,35.0,8.929149269414265e-190,31.955226833157003
627.7,stage1,35.0,25000,0.8,30.07559924011521,381.184,0.0,0.0,0.0,0,35.0,8.333872651453179e-190,31.955421735848226
627.8,stage1,35.0,25000,0.8,30.075619852203978,381.184,0.0,0.0,0.0,0,35.0,7.778281141356805e-190,31.955616612423807
627.9,stage1,35.0,25000,0.8,30.07564046620354,381.184,0.0,0.0,0.0,0,35.0,7.259729065266234e-190,31.95581146288746
628.0,stage1,35.0,25000,0.8,30.075661082113594,381.184,0.0,0.0,0.0,0,35.0,6.775747127581708e-190,31.956006287242904
628.1,stage1,35.0,25000,0.8,30.075681699933828,381.184,0.0,0.0,0.0,0,35.0,6.324030652409492e-190,31.95620108549385
628.2,stage1,35.0,25000,0.8,30.075702319663932,381.184,0.0,0.0,0.0,0,35.0,5.90242860891543e-190,31.956395857644008
628.3,stage1,35.0,25000,0.8,30.075722941303603,381.184,0.0,0.0,0.0,0,35.0,5.508933368321426e-190,31.956590603697098
628.4,stage1,35.0,25000,0.8,30.075743564852534,381.184,0.0,0.0,0.0,0,35.0,5.141671143766581e-190,31.95678532365683
628.5,stage1,35.0,25000,0.8,30.075764190310416,381.184,0.0,0.0,0.0,0,35.0,4.798893067515398e-190,31.956980017526917
