"time","soc","T_core_C","voltage_V","current_A","pump_cmd","fan_cmd","mode","coolant_in_temp_C","coolant_flow_kgps","T_surface_C"
238.0,0.749630359299248,31.991878692149463,375.96294537044207,47.87691665862414,0.0,0.0,0.0,35.0,0.0,31.033147857753026
239.0,0.7494087032904893,32.00060934074386,375.9517907176209,47.878337148147956,0.0,0.0,0.0,35.0,0.0,31.03726397198748
240.0,0.7491870407042798,32.00933993548907,375.940633303312,47.87975807365448,0.0,0.0,0.0,35.0,0.0,31.041378412398732
241.0,0.7489653715386011,32.01807047633699,375.9294731265522,47.88117943533653,0.0,0.0,0.0,35.0,0.0,31.045491181285175
242.0,0.7487436957914333,32.0268009632398,375.9183101863775,47.88260123338703,0.0,0.0,0.0,35.0,0.0,31.04960228094196
243.0,0.7485220134607554,32.03553139615,375.9071444818231,47.884023467999135,0.0,0.0,0.0,35.0,0.0,31.053711713661045
244.0,0.7483003245445463,32.04426177502039,375.8959760119235,47.88544613936609,0.0,0.0,0.0,35.0,0.0,31.057819481731187
245.0,0.748078629040783,32.05299209980403,375.8848047757119,47.88686924768136,0.0,0.0,0.0,35.0,0.0,31.06192558743794
246.0,0.7478569269474422,32.06172237045431,375.87363077222125,47.88829279313855,0.0,0.0,0.0,35.0,0.0,31.066030033063665
247.0,0.7476352182624998,32.07045258692494,375.86245400048335,47.88971677593143,0.0,0.0,0.0,35.0,0.0,31.07013282088754
248.0,0.7474135029839305,32.07918274916986,375.8512744595292,47.891141196253926,0.0,0.0,0.0,35.0,0.0,31.074233953185548
249.0,0.7471917811097081,32.08791285714338,375.840092148389,47.892566054300154,0.0,0.0,0.0,35.0,0.0,31.07833343223049
250.0,0.7469700526378056,32.09664291080006,375.8289070660919,47.89399135026437,0.0,0.0,0.0,35.0,0.0,31.082431260291997
251.0,0.7467483175661952,32.105372910094765,375.81771921166666,47.895417084341005,0.0,0.0,0.0,35.0,0.0,31.086527439636534
252.0,0.7465265758928481,32.11410285498265,375.8065285841408,47.89684325672463,0.0,0.0,0.0,35.0,0.0,31.090621972527394
253.0,0.7463048276157345,32.122832745419174,375.795335182541,47.898269867610026,0.0,0.0,0.0,35.0,0.0,31.094714861224706
254.0,0.7460830727328239,32.1315625813601,375.78413900589356,47.8996969171921,0.0,0.0,0.0,35.0,0.0,31.098806107985443
255.0,0.745861311242085,32.140292362761485,375.7729400532235,47.901124405665925,0.0,0.0,0.0,35.0,0.0,31.102895715063422
256.0,0.7456395431414851,32.14902208957966,375.7617383235551,47.90255233322677,0.0,0.0,0.0,35.0,0.0,31.106983684709313
257.0,0.7454177684289909,32.157751761771266,375.75053381591187,47.90398070007004,0.0,0.0,0.0,35.0,0.0,31.11107001917065
