time,outputs[1],outputs[2],outputs[3],outputs[4]
0.7097656283382341,4.415180044774218,3.0976562811823376,3.097656281382338,0.0
0.7097656283382341,4.415180044774218,3.0976562811823376,3.097656281382338,0.0
0.71,4.412958718702604,3.098392157563154,3.0983921577631546,0.0
0.72,4.30356095678671,3.129524489430563,3.1295244896305636,0.0
0.73,4.172378509224273,3.160194847788178,3.1601948479881785,0.0
0.74,4.0253003449376115,3.190369385625398,3.1903693858253983,0.0
0.75,3.870261971718171,3.220041986290839,3.2200419864908394,0.0
0.76,3.716471066276016,3.2492070244685642,3.2492070246685647,0.0
0.77,3.573223059839328,3.2778595999265856,3.277859600126586,0.0
0.78,3.448918436091988,3.3059950957805073,3.305995095980508,0.0
0.79,3.3502185207926676,3.333609040282505,3.3336090404825054,0.0
0.7915229370754365,3.3377684138885724,3.337768414088581,3.337768414288581,0.0
0.7915229370754365,3.3377684138885724,3.337768414088581,3.337768414288581,0.0
0.8,3.335160346413551,3.3351603466135593,3.3351603468135593,0.0
0.8000001909859407,3.3351603517920574,3.335160351992066,3.335160352192066,0.0
0.8000001909859407,3.3351603517920574,3.335160351992066,3.335160352192066,0.0
0.81,3.3409728385795416,3.34097283877955,3.34097283897955,0.0
0.8200000000000001,3.3560236040215505,3.356023604221559,3.356023604421559,0.0
0.8275057232378064,3.3728626430635864,3.372862643263595,3.372862643463595,0.0
0.8275057232378064,3.3728626430635864,3.372862643263595,3.372862643463595,0.0
0.8300000000000001,3.379536221050106,3.3795362212501145,3.3795362214501146,0.0
0.8311672414190986,3.382758526322051,3.3827585265220597,3.3827585267220597,0.0
0.8311672414190986,3.382758526322051,3.3827585265220597,3.3827585267220597,0.0
0.8311672419490886,3.3827585280550982,3.382758527855098,3.382758528055098,0.0
0.8311672419490886,3.3827585280550982,3.382758527855098,3.382758528055098,0.0
0.84,3.418980252629388,3.404713514303655,3.404713514503655,0.0
0.85,3.467015567309619,3.4290925871792575,3.4290925873792575,0.0
0.86,3.5160102836285976,3.4529339905831913,3.4529339907831913,0.0
0.87,3.5571585026626926,3.476225690552196,3.4762256907521962,0.0
0.876196212144051,3.5746099779032057,3.4903783445313756,3.4903783447313756,0.0
0.876196212144051,3.5746099779032057,3.4903783445313756,3.4903783447313756,0.0
0.88,3.580768083847819,3.4989410607530345,3.4989410609530345,0.0
0.89,3.5810643749449924,3.521105229298627,3.521105229498627,0.0
0.9,3.5531975137058627,3.5427126018491513,3.5427126020491513,0.0
0.9,3.5531975137058627,3.5427126018491513,3.5427126020491513,0.0
0.90000000000001,3.5531975137058205,3.542712601849172,3.542712602049172,0.0
0.90000000000001,3.5531975137058205,3.542712601849172,3.542712602049172,0.0
0.9049009065041739,3.5285894315113584,3.5285894317113584,3.5285894319113584,0.04900872981364207
0.9049009065041739,3.5285894315113584,3.5285894317113584,3.5285894319113584,0.04900872981364207
0.91,3.5071089414468934,3.5071089416468935,3.5071089418468935,0.09999966477190386
0.92,3.458554352970483,3.4585543531704834,3.4585543533704834,0.19999966477190406
0.93,3.401905084289901,3.4019050844899015,3.4019050846899015,0.29999966477190426
0.9400000000000001,3.339238645040347,3.3392386452403473,3.3392386454403473,0.39999966477190446
0.9500000000000001,3.2734011281014803,3.273401128301481,3.273401128501481,0.4999996647719047
0.96,3.207572572708872,3.2075725729088727,3.2075725731088727,0.5999996647719039
0.97,3.144905263850305,3.1449052640503057,3.1449052642503057,0.6999996647719036
0.98,3.087994784792555,3.0879947849925555,3.0879947851925555,0.7999996647719032
0.99,3.039439123132438,3.0394391233324383,3.0394391235324383,0.8999996647719024
