time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,force_cmd_N
0.242,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.243,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.244,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.245,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.246,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.247,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.248,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.249,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.25,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.251,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.252,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.253,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.254,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.255,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.256,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.257,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.258,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.259,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.26,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.261,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.262,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.263,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.264,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.265,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.266,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.267,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.268,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.269,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.27,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.271,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.272,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.273,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.274,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.275,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.276,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.277,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.278,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.279,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.28,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.281,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.282,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.283,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.284,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.285,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.286,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.287,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.288,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.289,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.29,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.291,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.292,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.293,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.294,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.295,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.296,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.297,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.298,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.299,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.3,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.301,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.302,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.303,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.304,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.305,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.306,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.307,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.308,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.309,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.31,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.311,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.312,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.313,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.314,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.315,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.316,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.317,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.318,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.319,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.32,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.321,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.322,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.323,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.324,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.325,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.326,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.327,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.328,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.329,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.33,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.331,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.332,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.333,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.334,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.335,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.336,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.337,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.338,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.339,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.34,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.341,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.342,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.343,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.344,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.345,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.346,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.347,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.348,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.349,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.35,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.351,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.352,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.353,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.354,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.355,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.356,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.357,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.358,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.359,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.36,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.361,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.362,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.363,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.364,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.365,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.366,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.367,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.368,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.369,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
0.37,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0
