"time","soc","temp_cell_C","v_term_V","heat_gen_W","pump_cmd","coolant_temp_C"
329.0,0.7284444444443764,29.16622431330746,215.68481463023923,142.29501550077237,5.739658469144881e-152,27.516776626077977
330.0,0.7277777777777098,29.16537104369651,215.6381971992913,142.30665370664244,2.0012951617281914e-152,27.51908711197457
331.0,0.7271111111110432,29.164523785340585,215.59157656219355,142.31831343131097,6.978084751710628e-153,27.52139311516726
332.0,0.7264444444443766,29.163682519222434,215.5449526487406,142.32999468786795,2.433107706112058e-153,27.52369464680235
333.0,0.72577777777771,29.16284722638064,215.49832538876908,142.3416974893508,8.483721995624413e-154,27.52599171800212
334.0,0.7251111111110434,29.16201788790946,215.4516947121576,142.35342184874474,2.9580909516763788e-154,27.52828433986489
335.0,0.7244444444443768,29.161194484958667,215.40506054882653,142.36516777898274,1.031422538704444e-154,27.530572523465047
336.0,0.7237777777777102,29.160376998733405,215.35842282873753,142.37693529294586,3.596348018794475e-155,27.532856279853117
337.0,0.7231111111110436,29.15956541049408,215.31178148189392,142.38872440346333,1.253969017249983e-155,27.535135620055815
338.0,0.722444444444377,29.158759701556153,215.26513643834033,142.40053512331275,4.372319608684541e-156,27.537410555076068
339.0,0.7217777777777105,29.15795985329004,215.21848762816253,142.41236746522026,1.5245335807747682e-156,27.5396810958931
340.0,0.7211111111110439,29.157165847120943,215.1718349814871,142.42422144186068,5.3157199082461346e-157,27.541947253462453
341.0,0.7204444444443773,29.156377664528705,215.1251784284821,142.43609706585778,1.8534769256157772e-157,27.544209038716065
342.0,0.7197777777777107,29.155595287047685,215.07851789935575,142.44799434978427,6.4626744318505295e-158,27.54646646256229
343.0,0.7191111111110441,29.154818696266588,215.03185332435712,142.45991330616215,2.2533952397717966e-158,27.548719535885972
344.0,0.7184444444443775,29.15404787382834,214.9851846337759,142.47185394746276,7.857103371323955e-159,27.550968269548473
345.0,0.7177777777777109,29.153282801429928,214.93851175794197,142.48381628610696,2.7396025472176876e-159,27.55321267438774
346.0,0.7171111111110443,29.152523460822273,214.8918346272256,142.4958003344654,9.552403426578501e-160,27.55545276121835
347.0,0.7164444444443777,29.15176983381007,214.84515317203704,142.50780610485853,3.330717125985286e-160,27.557688540831567
348.0,0.7157777777777111,29.15102190225165,214.7984673228265,142.51983360955685,1.1613492519029044e-160,27.559920023995346
349.0,0.7151111111110445,29.150279648058856,214.7517770100842,142.53188286078114,4.049374455648067e-161,27.562147221454456
350.0,0.7144444444443779,29.14954305319687,214.7050821643397,142.5439538707024,1.4119295685761544e-161,27.564370143930464
351.0,0.7137777777777113,29.148812099684093,214.65838271616263,142.55604665144236,4.923093995021995e-162,27.566588802121814
352.0,0.7131111111110447,29.148086769592002,214.6116785961616,142.56816121507322,1.716576734649946e-162,27.568803206703876
353.0,0.7124444444443782,29.147367045044984,214.56496973498483,142.58029757361825,5.985332981496949e-163,27.57101336832899
354.0,0.7117777777777116,29.146652908220233,214.51825606331963,142.59245573905162,2.0869565674674378e-163,27.57321929762651
355.0,0.711111111111045,29.14594434134758,214.47153751189234,142.6046357232987,7.276767605009966e-164,27.575421005202852
356.0,0.7104444444443784,29.145241326709375,214.42481401146827,142.61683753823627,2.5372519774850876e-164,27.577618501641556
357.0,0.7097777777777118,29.144543846640328,214.37808549285145,142.62906119569246,8.846850616501405e-165,27.57981179750332
358.0,0.7091111111110452,29.14385188352739,214.3313518868847,142.64130670744723,3.0847060727594325e-165,27.582000903326044
359.0,0.7084444444443786,29.143165419809577,214.2846131244492,142.6535740852323,1.0755705016167562e-165,27.584185829624893
360.0,0.707777777777712,29.142484437977878,214.23786913646478,142.66586334073133,3.750282447213051e-166,27.58636658689234
361.0,0.7071111111110454,29.141808920575087,214.19111985388943,142.67817448558023,1.3076426336286568e-166,27.588543185598212
362.0,0.7064444444443788,29.141138850195674,214.1443652077192,142.69050753136707,4.559467937018957e-167,27.590715636189728
363.0,0.7057777777777122,29.14047420948565,214.09760512898833,142.70286248963248,1.5897881679657348e-167,27.592883949091572
364.0,0.7051111111110456,29.13981498114241,214.050839548769,142.71523937186967,5.543248584957292e-168,27.59504813470591
365.0,0.704444444444379,29.139161147914628,214.00406839817092,142.72763818952464,1.9328112696894407e-168,27.59720820341245
366.0,0.7037777777777124,29.1385126926021,213.9572916083418,142.74005895399628,6.739296185230146e-169,27.599364165568506
367.0,0.7031111111110459,29.13786959805561,213.91050911046653,142.75250167663663,2.349847281237928e-169,27.60151603150902
368.0,0.7024444444443793,29.137231847176782,213.86372083576774,142.7649663687509,8.193410844952667e-170,27.603663811546628
369.0,0.7017777777777127,29.136599422917982,213.81692671550508,142.7774530415977,2.856865712516519e-170,27.60580751597167
370.0,0.7011111111110461,29.135972308282145,213.77012668097558,142.78996170638925,9.961274802154348e-171,27.607947155052305
371.0,0.7004444444443795,29.135350486322658,213.7233206635131,142.8024923742914,3.473281759422613e-171,27.610082739034493
372.0,0.6997777777777129,29.134733940143217,213.6765085944886,142.8150450564239,1.21105846590326e-171,27.612214278142062
373.0,0.6991111111110463,29.134122652897695,213.6296904053097,142.8276197638605,4.222699767610477e-172,27.614341782576776
374.0,0.6984444444443797,29.133516607790014,213.58286602742075,142.84021650762912,1.4723643679810538e-172,27.616465262518357
375.0,0.6977777777777131,29.13291578807401,213.5360353923026,142.8528352987119,5.133817110864562e-173,27.61858472812453
376.0,0.6971111111110465,29.13232017705328,213.48919843147272,142.86547614804564,1.790051341974944e-173,27.620700189531096
377.0,0.6964444444443799,29.131729758081093,213.44235507648457,142.87813906652156,6.241523096187351e-174,27.622811656851937
378.0,0.6957777777777133,29.131144514560212,213.3955052589281,142.8908240649857,2.1762845370267274e-174,27.62491914017911
379.0,0.6951111111110467,29.130564429942783,213.3486489104291,142.9035311542391,7.588234975842301e-175,27.627022649582855
380.0,0.6944444444443801,29.129989487730207,213.30178596264943,142.91626034503776,2.645853934488955e-175,27.62912219511165
381.0,0.6937777777777135,29.129419671472984,213.25491634728672,142.92901164809294,9.225522226100564e-176,27.631217786792263
382.0,0.693111111111047,29.128854964770618,213.20803999607446,142.94178507407128,3.216740698904624e-176,27.63330943462981
383.0,0.6924444444443804,29.12829535127145,213.16115684078153,142.9545806335949,1.121608129100248e-176,27.63539714860777
384.0,0.6917777777777138,29.127740814672563,213.11426681321228,142.96739833724158,3.910805728581538e-177,27.637480938688054
385.0,0.6911111111110472,29.12719133871961,213.06736984520663,142.98023819554493,1.3636136409759545e-177,27.639560814811038
386.0,0.6904444444443806,29.126646907206737,213.0204658686396,142.99310021899444,4.754626772345771e-178,27.641636786895617
387.0,0.689777777777714,29.126107503976396,212.97355481542138,143.00598441803584,1.6578358462392216e-178,27.643708864839244
388.0,0.6891111111110474,29.125573112919266,212.9266366174969,143.01889080307095,5.7805161680855534e-179,27.645777058517993
389.0,0.6884444444443808,29.125043717974073,212.87971120684654,143.0318193844581,2.0155413604609e-179,27.647841377786566
390.0,0.6877777777777142,29.12451930312751,212.83277851548488,143.04477017251205,7.027758175225382e-180,27.64990183247838
391.0,0.6871111111110476,29.123999852414094,212.78583847546142,143.0577431775043,2.4504277579376085e-180,27.65195843240558
392.0,0.686444444444381,29.123485349916013,212.7388910188602,143.07073840966322,8.544113282154257e-181,27.654011187359096
393.0,0.6857777777777144,29.12297577976303,212.69193607779974,143.08375587917402,2.979148091259237e-181,27.656060107108708
394.0,0.6851111111110478,29.122471126132332,212.64497358443265,143.09679559617916,1.038764709287163e-181,27.658105201403043
395.0,0.6844444444443812,29.121971373248424,212.59800347094594,143.10985757077822,3.621948584651779e-182,27.660146479969676
396.0,0.6837777777777146,29.121476505382994,212.55102566956074,143.1229418130283,1.262895382618785e-182,27.662183952515125
397.0,0.683111111111048,29.120986506854763,212.50404011253195,143.13604833294391,4.4034439202101055e-183,27.664217628724924
398.0,0.6824444444443815,29.120501362029408,212.45704673214848,143.14917714049736,1.5353859571666888e-183,27.666247518263656
399.0,0.6817777777777149,29.12002105531939,212.41004546073293,143.16232824561868,5.353559804963265e-184,27.668273630775005
400.0,0.6811111111110483,29.119545571183863,212.36303623064148,143.1755016581959,1.8666708817766514e-184,27.6702959758818
401.0,0.6804444444443817,29.119074894128516,212.3160189742641,143.18869738807518,6.508678912379743e-185,27.672314563186042
402.0,0.6797777777777151,29.11860900870548,212.26899362402364,143.20191544506082,2.2694360102803334e-185,27.674329402268967
403.0,0.6791111111110485,29.11814789951317,212.22196011237682,143.21515583891562,7.913034079713144e-186,27.67634050269109
404.0,0.6784444444443819,29.117691551196202,212.17491837181328,143.22841857936083,2.7591043793725186e-186,27.67834787399224
405.0,0.6777777777777153,29.117239948445224,212.12786833485572,143.24170367607633,9.620402110726886e-187,27.680351525691606
406.0,0.6771111111110487,29.116793075996828,212.08080993405986,143.2550111387008,3.3544268011029983e-187,27.682351467287756
407.0,0.6764444444443821,29.11635091863341,212.03374310201423,143.26834097683195,1.169616304438226e-187,27.684347708258745
408.0,0.6757777777777155,29.11591346118306,211.9866677713401,143.2816932000264,4.078199885470474e-188,27.686340258062092
409.0,0.6751111111110489,29.115480688519405,211.9395838746916,143.2950678178001,1.4219803744818434e-188,27.688329126134864
410.0,0.6744444444443823,29.115052585561536,211.89249134475497,143.3084648396282,4.95813898827143e-189,27.690314321893695
411.0,0.6737777777777157,29.114629137273848,211.84539011424928,143.32188427494546,1.7287961682294746e-189,27.69229585473483
412.0,0.6731111111110492,29.114210328665934,211.79828011592576,143.3353261331462,6.027939511891104e-190,27.694273734034205
413.0,0.6724444444443826,29.113796144792463,211.75116128256778,143.34879042358446,2.1018125460233454e-190,27.69624796914743
414.0,0.671777777777716,29.11338657075306,211.70403354699084,143.36227715557413,7.328567199300295e-191,27.69821856940988
415.0,0.6711111111110494,29.112981591692165,211.65689684204253,143.37578633838922,2.555313379220052e-191,27.70018554413672
416.0,0.6704444444443828,29.112581192798956,211.60975110060213,143.38931798126373,8.909826830331076e-192,27.702148902622948
417.0,0.6697777777777162,29.112185359307183,211.56259625558098,143.40287209339206,3.1066645207609666e-192,27.70410865414344
418.0,0.6691111111110496,29.11179407649508,211.51543223992184,143.416448683929,1.0832269390129476e-192,27.706064807952988
419.0,0.668444444444383,29.11140732968521,211.46825898659912,143.43004776198978,3.776978793693324e-193,27.708017373286335
420.0,0.6677777777777164,29.111025104244383,211.42107642861868,143.4436693366505,1.316951074075768e-193,27.70996635935825
421.0,0.6671111111110498,29.110647385583533,211.37388449901786,143.45731341694778,4.5919244619675835e-194,27.711911775363536
422.0,0.6664444444443832,29.110274159157573,211.32668313086518,143.47098001187945,1.6011050584558888e-194,27.713853630477086
423.0,0.6657777777777166,29.109905410465284,211.27947225726015,143.48466913040426,5.5827081421861855e-195,27.715791933853914
424.0,0.66511111111105,29.109541125049237,211.23225181133353,143.49838078144214,1.9465699665510476e-195,27.717726694629224
425.0,0.6644444444443834,29.10918128849561,211.185021726247,143.51211497387445,6.787269794825282e-196,27.719657921918408
426.0,0.6637777777777168,29.10882588643412,211.13778193519292,143.52587171654386,2.3665746445975267e-196,27.721585624817138
427.0,0.6631111111110503,29.10847490453788,211.09053237139457,143.53965101825472,8.251735554584774e-197,27.72350981240137
428.0,0.6624444444443837,29.108128328523296,211.0432729681058,143.5534528877731,2.877202281290328e-197,27.725430493727405
429.0,0.6617777777777171,29.107786144149955,210.99600365861102,143.5672773338268,1.0032184032924731e-197,27.72734767783192
430.0,0.6611111111110505,29.10744833722048,210.94872437622493,143.5811243651057,3.498006279396323e-198,27.729261373732015
431.0,0.6604444444443839,29.107114893580437,210.90143505429273,143.5949939902617,1.2196793729599144e-198,27.73117159042525
432.0,0.6597777777777173,29.106785799118242,210.8541356261897,143.60888621790895,4.252759011858091e-199,27.7330783368897
433.0,0.6591111111110507,29.106461039764984,210.80682602532147,143.62280105662393,1.482845378375897e-199,27.734981622083975
434.0,0.6584444444443841,29.106140601494356,210.75950618512343,143.63673851494553,5.17036213441602e-200,27.736881454947277
435.0,0.6577777777777175,29.10582447032253,210.71217603906106,143.65069860137538,1.8027938037802845e-200,27.738777844399426
436.0,0.6571111111110509,29.105512632308052,210.66483552062962,143.66468132437765,6.2859533132405495e-201,27.74067079934093
437.0,0.6564444444443843,29.105205073551694,210.6174845633541,143.6786866923795,2.1917763958021414e-201,27.74256032865298
438.0,0.6557777777777177,29.104901780196386,210.57012310078903,143.69271471377095,7.642251747362907e-202,27.74444644119755
439.0,0.6551111111110511,29.104602738427065,210.52275106651874,143.70676539690518,2.6646884181219975e-202,27.74632914581738
440.0,0.6544444444443845,29.10430793447057,210.47536839415656,143.72083875009858,9.291194009833145e-203,27.748208451336048
441.0,0.6540555555554953,29.102987116185925,267.9568735342057,76.90819570837499,3.2396390340150846e-203,27.746375752742626
442.0,0.6536666666666061,29.101665406234954,267.9314299261131,76.91138744496608,1.1295922848674503e-203,27.744547299792657
443.0,0.6532777777777169,29.10034281414259,267.9059838114745,76.91458283752162,3.9386447583657746e-204,27.74272308326378
444.0,0.6528888888888277,29.099019349399185,267.88053518184176,76.91778188355622,1.3733205104550193e-204,27.74090309395396
445.0,0.6524999999999385,29.097695021460577,267.8550840287553,76.92098458059269,4.788472533427918e-205,27.73908732268146
446.0,0.6521111111110492,29.096369839748213,267.8296303437444,76.924190926162,1.6696371334173413e-205,27.73727576028478
447.0,0.65172222222216,29.095043813649237,267.80417411832735,76.9274009178032,5.82166471212994e-206,27.735468397622643
448.0,0.6513333333332708,29.09371695251659,267.77871534401123,76.93061455306346,2.0298889706106824e-206,27.7336652255739
449.0,0.6509444444443816,29.09238926566912,267.75325401229196,76.93383182949803,7.077785198487274e-207,27.731866235037536
450.0,0.6505555555554924,29.09106076239167,267.72779011465474,76.93705274467017,2.467871102371411e-207,27.73007141693261
451.0,0.6501666666666032,29.08973145193519,267.7023236425734,76.94027729615117,8.604934463427309e-208,27.728280762198175
452.0,0.649777777777714,29.088401343516832,267.6768545875111,76.9435054815203,3.0003551258705648e-208,27.726494261793295
453.0,0.6493888888888247,29.08707044632005,267.65138294092,76.9467372983648,1.0461591450345877e-208,27.72471190669696
454.0,0.6489999999999355,29.08573876949468,267.6259086942414,76.94997274427982,3.647731387870096e-209,27.72293368790805
455.0,0.6486111111110463,29.084406322157076,267.60043183890554,76.95321181686845,1.271885290226353e-209,27.721159596445297
456.0,0.6482222222221571,29.083073113390174,267.57495236633224,76.95645451374163,4.434789789822605e-210,27.719389623347244
457.0,0.6478333333332679,29.081739152243617,267.54947026793025,76.9597008325182,1.5463155860867526e-210,27.71762375967219
458.0,0.6474444444443787,29.08040444773383,267.5239855350976,76.96295077082478,5.391669064590462e-211,27.715861996498152
459.0,0.6470555555554894,29.079069008844147,267.49849815922187,76.96620432629581,1.879958758976828e-211,27.714104324922825
460.0,0.6466666666666002,29.077732844524856,267.47300813167976,76.96946149657354,6.555010875323721e-212,27.712350736063534
461.0,0.646277777777711,29.07639596369336,267.44751544383706,76.97272227930793,2.2855909668464108e-212,27.710601221057193
462.0,0.6458888888888218,29.075058375234246,267.4220200870497,76.97598667215668,7.969362930266573e-213,27.708855771060257
463.0,0.6454999999999326,29.07372008799935,267.39652205266236,76.97925467278522,2.7787450351161134e-213,27.7071143772487
464.0,0.6451111111110434,29.072381110807914,267.3710213320095,76.9825262788666,9.68888484279906e-214,27.705377030817946
465.0,0.6447222222221541,29.071041452446632,267.3455179164151,76.98580148808158,3.378305253295709e-214,27.70364372298283
466.0,0.6443333333332649,29.06970112166977,267.32001179719254,76.98908029811851,1.177942205900783e-214,27.701914444977568
467.0,0.6439444444443757,29.06836012719925,267.2945029656448,76.99236270667335,4.1072305088143804e-215,27.70018918805572
468.0,0.6435555555554865,29.067018477724776,267.2689914130648,76.99564871144963,1.4321027269445277e-215,27.69846794349011
