time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,force_cmd_N
5.607,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0041524799468803586,0.046054622358365986,0.0
5.608,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002549835732920153,0.05285952684353164,0.0
5.609,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002255554741930127,0.05960954538039483,0.0
5.61,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0025406683754130802,0.041797607845429394,0.0
5.611,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0009969107778301748,0.050139453242845966,0.0
5.612,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0005512369919550115,0.07764143485026731,0.0
5.613,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.002020173680846827,0.04374501454585425,0.0
5.614,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0012132647676567807,0.02269517737989061,0.0
5.615,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0007893642839872635,0.05199947107972702,0.0
5.616,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0013404742329349002,0.04987382214165344,0.0
5.617,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0017043510726017935,0.050270407351045765,0.0
5.618,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0036624258555415907,0.0810020976571239,0.0
5.619,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0020264911742885077,0.03465653782122088,0.0
5.62,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.001056179635764521,0.03531806917950765,0.0
5.621,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0006967656379421556,0.048398016728225544,0.0
5.622,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.003287744066697979,0.03728983534137395,0.0
5.623,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0017565223393465037,0.023468300202613226,0.0
5.624,stage1,0.0,True,False,0.0,0.0,0.0,0.0,0.0,-0.0046001353958608545,0.03587147563777361,0.0
