"time","x_m","x_dot_mps","theta_rad","theta_dot_radps","force_cmd_N"
5.54,0.29967726361248953,0.0007531871839471056,-0.0001291670469247142,0.00023201525686294207,-0.0013745107735854134
5.55,0.2996847019851522,0.0007362366383671949,-0.00012686110799407503,0.00022942958375277218,-0.0013479540118810363
5.56,0.2996919726531965,0.0007196129703983176,-0.00012458107580387356,0.0002268348532493124,-0.0013216787139067598
5.57,0.29969907886521535,0.0007033125016990173,-0.00012232703946343294,0.00022423134495099182,-0.0012956908181704918
5.58,0.2997060238327095,0.0006873314984540708,-0.00012009908481223452,0.00022161942352872852,-0.0012699958899342612
5.59,0.2997128107295543,0.0006716661751779385,-0.00011789729360831117,0.00021899953166065086,-0.0012445991251990307
5.6,0.2997194426915039,0.0006563126984897483,-0.00011572174278558126,0.00021637218327687062,-0.0012195053552011004
5.61,0.29972592281573274,0.0006412671908535781,-0.00011357250377706649,0.00021373795710650823,-0.0011947190513876826
5.62,0.299732254160414,0.0006265257342781417,-0.00011144964190101255,0.00021109749051935635,-0.0011702443308134747
5.63,0.29973843974433595,0.0006120843739705376,-0.00010935321580700929,0.0002084514736543204,-0.0011460849619302493
5.64,0.2997444825465532,0.0005979391219390419,-0.00010728327697928531,0.00020580064382695054,-0.001122244370758807
5.65,0.2997503855060745,0.0005840859605403067,-0.00010523986929442785,0.0002031457802084404,-0.001098725647367793
5.66,0.29975615152158536,0.0005705208459667942,-0.00010322302863085584,0.00020048769876831655,-0.0010755315526655984
5.67,0.29976178345120535,0.000557239711670566,-0.0001012327825274515,0.0001978272474732195,-0.001052664525458713
5.68,0.2997672841122794,0.0005442384717198872,-9.92691498888306e-05,0.00019516530173425953,-0.0010301266897503325
5.69,0.2997726562812016,0.0005315130240855121,-9.733214073480793e-05,0.00019250276009533665,-0.0010079198622543473
5.7,0.2997779026932725,0.0005190592538537325,-9.54217559916882e-05,0.0001898405401550784,-0.0009860455600914086
5.71,0.29978302604258716,0.000506873036363674,-9.353798732308788e-05,0.00018717957471493606,-0.0009645050086577456
5.72,0.299788028981955,0.0004949502402665756,-9.168081699806632e-05,0.00018452080814614178,-0.0009432991496227672
5.73,0.299792914122849,0.0004832867305050228,-8.985021779441682e-05,0.00018186519296839205,-0.0009224286490505662
5.74,0.29979768403538454,0.00047187837121045805,-8.80461529350403e-05,0.00017921368663304936,-0.0009018939056173458
5.75,0.2998023412483273,0.00046072102851743194,-8.626857605539414e-05,0.00017656724850395996,-0.0008816950588963479
5.76,0.2998068882491281,0.0004498105732934834,-8.451743120007976e-05,0.000173926837028741,-0.000861831997705842
5.77,0.2998113274839848,0.0004391428837834911,-8.279265284669988e-05,0.0001712934070940199,-0.0008423043684948617
5.78,0.29981566135793036,0.0004287138481678111,-8.109416595518439e-05,0.00016866790755772437,-0.0008231115837467051
5.79,0.2998198922349457,0.0004185193670335793,-7.942188604084966e-05,0.00016605127895190494,-0.0008042528303904284
5.8,0.299824022438097,0.0004085553557588032,-7.777571926952225e-05,0.0001634444513495982,-0.0007857270781945758
5.81,0.2998280542496965,0.0003988177468090023,-7.615556257312133e-05,0.00016084834238944118,-0.0007675330881466991
5.82,0.2998319899114853,0.00038930249194640105,-7.456130378415664e-05,0.00015826385545174114,-0.0007496694207844712
5.83,0.2998358316248381,0.0003800055643517861,-7.299282178766129e-05,0.00015569187797992657,-0.0007321344444801703
5.84,0.29983958155098905,0.00037092296065928187,-7.144998668913808e-05,0.0001531332799414663,-0.0007149263436607711
5.85,0.29984324181127653,0.0003620507029045311,-6.993265999715767e-05,0.00015058891242228378,-0.0006980431269552057
5.86,0.29984681448740785,0.0003533848403867439,-6.844069481930405e-05,0.0001480596063491465,-0.0006814826352541381
5.87,0.29985030162174175,0.0003449214514454134,-6.697393607021964e-05,0.00014554617133422074,-0.0006652425496782577
5.88,0.2998537052175876,0.00033665664515235017,-6.553222069055694e-05,0.00014304939463664115,-0.0006493203994515362
5.89,0.2998570272395224,0.000328586562920103,-6.411537787569745e-05,0.00014057004023546686,-0.0006337135696394824
5.9,0.29986026961372236,0.00032070738002764373,-6.272322931315111e-05,0.00013810884800910718,-0.0006184193087981349
5.91,0.2998634342283093,0.00031301530706451453,-6.135558942760081e-05,0.0001356665330159841,-0.0006034347364813897
5.92,0.2998665229337117,0.000305506591294551,-6.0012265632605526e-05,0.0001332437848716727,-0.0005887568506155461
5.93,0.2998695375430384,0.00029817751794049003,-5.869305858802419e-05,0.0001308412672176614,-0.000574382534745066
5.94,0.29987247983246496,0.0002910244113908304,-5.739776246227035e-05,0.00012845961727703324,-0.0005603085651317841
5.95,0.29987535154163136,0.0002840436363302236,-5.6126165198551423e-05,0.00012609944549281932,-0.0005465316177071244
5.96,0.29987815437405124,0.00027723159879505105,-5.48780487842924e-05,0.00012376133524426235,-0.0005330482748675536
5.97,0.29988088999753065,0.000270584747155556,-5.365318952298672e-05,0.0001214458426370521,-0.0005198550321305895
5.98,0.29988356004459626,0.00026409957302614537,-5.245135830775778e-05,0.00011915349636331528,-0.000506948304617616
5.99,0.29988616611293295,0.0002577726121054754,-5.127232089595541e-05,0.00011688479762737231,-0.000494324433382598
