time,V_in,V_out
4.78,1.0,0.8796714969129319
4.79,1.0,0.8806017460365102
4.8,1.0,0.8815253961117129
4.8100000000000005,1.0,0.8824424863617527
4.82,1.0,0.8833530558826309
4.83,1.0,0.8842571436417862
4.84,1.0,0.8851547884767821
4.8500000000000005,1.0,0.8860460290940335
4.86,1.0,0.8869309040675715
4.87,1.0,0.8878094518378457
4.88,1.0,0.8886817107105633
4.89,1.0,0.8895477188555652
4.9,1.0,0.8904075143057367
4.91,1.0,0.8912611349559542
4.92,1.0,0.8921086185620661
4.93,1.0,0.8929500027399081
4.94,1.0,0.8937853249643506
4.95,1.0,0.8946146225683804
4.96,1.0,0.895437932742214
4.97,1.0,0.8962552925324422
4.98,1.0,0.8970667388412068
4.99,1.0,0.8978723084254068
5.0,1.0,0.8986720378959356
5.01,1.0,0.8994659637169475
5.0200000000000005,1.0,0.9002541222051529
5.03,1.0,0.9010365495291421
5.04,1.0,0.9018132817087382
5.05,1.0,0.9025843546143759
5.0600000000000005,1.0,0.9033498039665088
5.07,1.0,0.9041096653350419
5.08,1.0,0.904863974138792
5.09,1.0,0.9056127656449724
5.1000000000000005,1.0,0.9063560749687029
5.11,1.0,0.9070939370725448
5.12,1.0,0.9078263867660612
5.13,1.0,0.9085534587053992
5.14,1.0,0.9092751873928969
5.15,1.0,0.9099916071767133
5.16,1.0,0.9107027522504804
5.17,1.0,0.9114086566529774
5.18,1.0,0.9121093542678278
5.19,1.0,0.9128048788232161
5.2,1.0,0.9134952638916268
5.21,1.0,0.9141805428896037
5.22,1.0,0.9148607490775291
5.23,1.0,0.9155359155594232
5.24,1.0,0.9162060752827624
5.25,1.0,0.916871261038318
5.26,1.0,0.9175315054600114
5.2700000000000005,1.0,0.9181868410247902
5.28,1.0,0.9188373000525203
5.29,1.0,0.9194829147058967
5.3,1.0,0.9201237169903717
5.3100000000000005,1.0,0.9207597387540992
5.32,1.0,0.9213910116878967
5.33,1.0,0.9220175673252232
5.34,1.0,0.9226394370421729
5.3500000000000005,1.0,0.9232566520574849
5.36,1.0,0.9238692434325682
5.37,1.0,0.9244772420715418
5.38,1.0,0.9250806787212896
5.39,1.0,0.9256795839715299
5.4,1.0,0.9262739882548985
5.41,1.0,0.9268639218470464
5.42,1.0,0.9274494148667507
5.43,1.0,0.9280304972760395
5.44,1.0,0.9286071988803286
5.45,1.0,0.9291795493285722
5.46,1.0,0.9297475781134252
5.47,1.0,0.930311314571419
5.48,1.0,0.9308707878831475
5.49,1.0,0.9314260270734662
5.5,1.0,0.9319770610117027
5.51,1.0,0.932523918411878
5.5200000000000005,1.0,0.9330666278329384
5.53,1.0,0.9336052176789993
5.54,1.0,0.9341397161995988
5.55,1.0,0.9346701514899614
5.5600000000000005,1.0,0.9351965514912722
5.57,1.0,0.9357189439909607
5.58,1.0,0.9362373566229942
5.59,1.0,0.936751816868181
5.6000000000000005,1.0,0.9372623520544817
5.61,1.0,0.9377689893573308
5.62,1.0,0.9382717557999659
5.63,1.0,0.9387706782537666
5.64,1.0,0.9392657834386002
5.65,1.0,0.9397570979231773
5.66,1.0,0.9402446481254136
5.67,1.0,0.9407284603128012
5.68,1.0,0.9412085606027858
5.69,1.0,0.9416849749631524
5.7,1.0,0.9421577292124177
5.71,1.0,0.9426268490202298
5.72,1.0,0.9430923599077743
5.73,1.0,0.9435542872481877
5.74,1.0,0.9440126562669763
5.75,1.0,0.9444674920424425
5.76,1.0,0.9449188195061166
5.7700000000000005,1.0,0.9453666634431945
5.78,1.0,0.9458110484929819
5.79,1.0,0.9462519991493433
5.8,1.0,0.9466895397611569
5.8100000000000005,1.0,0.947123694532775
5.82,1.0,0.9475544875244893
5.83,1.0,0.9479819426530017
5.84,1.0,0.9484060836918992
5.8500000000000005,1.0,0.9488269342721344
5.86,1.0,0.94924451788251
5.87,1.0,0.9496588578701682
5.88,1.0,0.9500699774410846
5.89,1.0,0.950477899660565
5.9,1.0,0.9508826474537481
5.91,1.0,0.951284243606111
5.92,1.0,0.9516827107639788
5.93,1.0,0.9520780714350379
5.94,1.0,0.9524703479888528
5.95,1.0,0.9528595626573862
5.96,1.0,0.9532457375355233
5.97,1.0,0.9536288945815976
5.98,1.0,0.9540090556179215
5.99,1.0,0.9543862423313189
6.0,1.0,0.9547604762736609
6.01,1.0,0.9551317788624046
6.0200000000000005,1.0,0.9555001713811341
6.03,1.0,0.9558656749801037
6.04,1.0,0.9562283106767845
6.05,1.0,0.9565880993564129
6.0600000000000005,1.0,0.9569450617725408
6.07,1.0,0.9572992185475888
6.08,1.0,0.957650590173401
6.09,1.0,0.9579991970118017
6.1000000000000005,1.0,0.9583450592951538
6.11,1.0,0.9586881971269194
6.12,1.0,0.9590286304822223
6.13,1.0,0.9593663792084106
6.140000000000001,1.0,0.9597014630256228
6.15,1.0,0.9600339015273536
6.16,1.0,0.9603637141810222
6.17,1.0,0.9606909203285413
6.18,1.0,0.9610155391868872
6.19,1.0,0.9613375898486711
6.2,1.0,0.9616570912827116
6.21,1.0,0.9619740623346077
6.22,1.0,0.962288521727313
6.23,1.0,0.962600488061711
6.24,1.0,0.9629099798171894
6.25,1.0,0.9632170153522179
6.26,1.0,0.9635216129049239
6.2700000000000005,1.0,0.9638237905936701
6.28,1.0,0.9641235664176319
6.29,1.0,0.9644209582573758
6.3,1.0,0.9647159838754379
6.3100000000000005,1.0,0.9650086609169017
6.32,1.0,0.9652990069099775
6.33,1.0,0.9655870392665811
6.34,1.0,0.9658727752829125
6.3500000000000005,1.0,0.9661562321400353
6.36,1.0,0.9664374269044549
6.37,1.0,0.9667163765286976
6.38,1.0,0.966993097851889
6.390000000000001,1.0,0.9672676076003326
