time,stage_id,valve,level,y,_output
44.0,stage1,1,0.9938914116771225,99,0
44.1,stage1,0,1.0920858422792445,109,0
44.2,stage1,0,1.1920858422792469,119,0
44.3,stage1,0,1.2920858422792492,129,0
44.4,stage1,0,1.3920858422792515,139,0
44.5,stage1,0,1.4920858422792538,149,0
44.6,stage1,0,1.592085842279256,159,0
44.7,stage1,0,1.6920858422792584,169,0
44.8,stage1,0,1.7920858422792607,179,0
44.9,stage1,0,1.892085842279263,189,0
45.0,stage1,0,1.9920858422792653,199,0
45.1,stage1,0,2.092085842279263,209,0
45.2,stage1,1,1.974187880572129,197,0
45.3,stage1,1,1.8650570586178137,187,0
45.4,stage1,1,1.7671961310835287,177,0
45.5,stage1,1,1.6794412606778095,168,0
45.6,stage1,1,1.6007487991003673,160,0
45.7,stage1,1,1.5301828751751507,153,0
45.8,stage1,1,1.4669042647517232,147,0
45.9,stage1,1,1.4101604100072807,141,0
46.0,stage1,1,1.3592764694511796,136,0
46.1,stage1,1,1.3136472921917615,131,0
46.2,stage1,1,1.2727302210172922,127,0
46.3,stage1,1,1.2360386386997309,124,0
46.4,stage1,1,1.2031361807690082,120,0
46.5,stage1,1,1.1736315459316915,117,0
46.6,stage1,1,1.1471738424155489,115,0
46.7,stage1,1,1.1234484148951664,112,0
46.8,stage1,1,1.1021731023692143,110,0
46.9,stage1,1,1.0830948824851656,108,0
47.0,stage1,1,1.0659868624031974,107,0
47.1,stage1,1,1.0506455804123278,105,0
47.2,stage1,1,1.036888586207519,104,0
47.3,stage1,1,1.0245522710505615,102,0
47.4,stage1,1,1.0134899220093283,101,0
47.5,stage1,1,1.003569977134945,100,0
47.6,stage1,1,0.9946744608260644,99,0
47.7,stage1,0,1.092867468888899,109,0
47.8,stage1,0,1.1928674688889014,119,0
47.9,stage1,0,1.2928674688889037,129,0
48.0,stage1,0,1.392867468888906,139,0
48.1,stage1,0,1.4928674688889083,149,0
48.2,stage1,0,1.5928674688889106,159,0
48.3,stage1,0,1.692867468888913,169,0
48.4,stage1,0,1.7928674688889152,179,0
48.5,stage1,0,1.8928674688889175,189,0
48.6,stage1,0,1.9928674688889199,199,0
48.7,stage1,0,2.092867468888918,209,0
48.8,stage1,1,1.9748900622448495,197,0
48.9,stage1,1,1.8656867262823602,187,0
49.0,stage1,1,1.7677607732312508,177,0
49.1,stage1,1,1.67994759246668,168,0
49.2,stage1,1,1.6012028422167994,160,0
49.3,stage1,1,1.530590029448516,153,0
49.4,stage1,1,1.4672693723732697,147,0
49.5,stage1,1,1.4104878131171867,141,0
49.6,stage1,1,1.3595700617786197,136,0
49.7,stage1,1,1.3139105653621248,131,0
49.8,stage1,1,1.2729663060772718,127,0
49.9,stage1,1,1.236250343354134,124,0
50.0,stage1,1,1.2033260227721403,120,0
50.1,stage1,1,1.1738017830304206,117,0
50.2,stage1,1,1.147326499200168,115,0
50.3,stage1,1,1.1235853068773742,112,0
50.4,stage1,1,1.1022958575735744,110,0
50.5,stage1,1,1.0832049608108232,108,0
50.6,stage1,1,1.0660855729861236,107,0
50.7,stage1,1,1.0507340971945687,105,0
50.8,stage1,1,1.0369679618986152,104,0
50.9,stage1,1,1.0246234496471773,102,0
51.0,stage1,1,1.0135537500219898,101,0
51.1,stage1,1,1.0036272136553874,100,0
51.2,stage1,1,0.9947257865549372,99,0
51.3,stage1,0,1.092918701376031,109,0
51.4,stage1,0,1.1929187013760334,119,0
51.5,stage1,0,1.2929187013760357,129,0
51.6,stage1,0,1.392918701376038,139,0
51.7,stage1,0,1.4929187013760403,149,0
51.8,stage1,0,1.5929187013760426,159,0
51.9,stage1,0,1.692918701376045,169,0
52.0,stage1,0,1.7929187013760473,179,0
52.1,stage1,0,1.8929187013760496,189,0
52.2,stage1,0,1.9929187013760519,199,0
52.3,stage1,0,2.0929187013760497,209,0
52.4,stage1,1,1.9749360874352244,197,0
52.5,stage1,1,1.8657279984705408,187,0
52.6,stage1,1,1.7677977832577894,177,0
52.7,stage1,1,1.6799807804832296,168,0
52.8,stage1,1,1.6012326029207364,160,0
52.9,stage1,1,1.5306167167769833,153,0
53.0,stage1,1,1.4672933037124682,147,0
53.1,stage1,1,1.4105092730769777,141,0
53.2,stage1,1,1.3595893055773227,136,0
53.3,stage1,1,1.3139278218617703,131,0
53.4,stage1,1,1.2729817805054038,127,0
53.5,stage1,1,1.2362642197445348,124,0
53.6,stage1,1,1.2033384661534967,120,0
53.7,stage1,1,1.1738129413889788,117,0
53.8,stage1,1,1.1473365052396964,115,0
53.9,stage1,1,1.1235942795973781,112,0
54.0,stage1,1,1.1023039036845297,110,0
54.1,stage1,1,1.0832121760032594,108,0
54.2,stage1,1,1.0660920430686487,107,0
54.3,stage1,1,1.0507398991143715,105,0
54.4,stage1,1,1.0369731646565823,104,0
54.5,stage1,1,1.0246281151185017,102,0
54.6,stage1,1,1.013557933692039,101,0
54.7,stage1,1,1.003630965279577,100,0
54.8,stage1,1,0.9947291507504633,99,0
54.9,stage1,0,1.0929220594599354,109,0
55.0,stage1,0,1.1929220594599377,119,0
55.1,stage1,0,1.29292205945994,129,0
55.2,stage1,0,1.3929220594599423,139,0
55.3,stage1,0,1.4929220594599446,149,0
55.4,stage1,0,1.592922059459947,159,0
55.5,stage1,0,1.6929220594599492,169,0
55.6,stage1,0,1.7929220594599515,179,0
55.7,stage1,0,1.8929220594599538,189,0
55.8,stage1,0,1.9929220594599562,199,0
55.9,stage1,0,2.092922059459954,209,0
56.0,stage1,1,1.9749391042017255,197,0
56.1,stage1,1,1.8657307036968254,187,0
56.2,stage1,1,1.7678002091164846,177,0
56.3,stage1,1,1.6799829558245112,168,0
56.4,stage1,1,1.6012345536154322,160,0
56.5,stage1,1,1.5306184660242523,153,0
56.6,stage1,1,1.4672948723157018,147,0
56.7,stage1,1,1.4105106796912101,141,0
56.8,stage1,1,1.359590566931091,136,0
56.9,stage1,1,1.3139289529560616,131,0
57.0,stage1,1,1.2729827947920596,127,0
57.1,stage1,1,1.2362651292862303,124,0
57.2,stage1,1,1.2033392817672017,120,0
57.3,stage1,1,1.1738136727745985,117,0
57.4,stage1,1,1.1473371610954284,115,0
57.5,stage1,1,1.1235948677231626,112,0
57.6,stage1,1,1.1023044310748094,110,0
57.7,stage1,1,1.0832126489301643,108,0
57.8,stage1,1,1.0660924671565906,107,0
57.9,stage1,1,1.0507402794069292,105,0
58.0,stage1,1,1.0369735056764862,104,0
58.1,stage1,1,1.0246284209214223,102,0
58.2,stage1,1,1.0135582079148193,101,0
58.3,stage1,1,1.0036312111834855,100,0
58.4,stage1,1,0.9947293712599775,99,0
58.5,stage1,0,1.0929222795688573,109,0
58.6,stage1,0,1.1929222795688597,119,0
58.7,stage1,0,1.292922279568862,129,0
58.8,stage1,0,1.3929222795688643,139,0
58.9,stage1,0,1.4929222795688666,149,0
59.0,stage1,0,1.592922279568869,159,0
59.1,stage1,0,1.6929222795688712,169,0
59.2,stage1,0,1.7929222795688735,179,0
59.3,stage1,0,1.8929222795688758,189,0
59.4,stage1,0,1.9929222795688781,199,0
59.5,stage1,0,2.092922279568876,209,0
59.6,stage1,1,1.9749393019386625,197,0
59.7,stage1,1,1.8657308810135513,187,0
59.8,stage1,1,1.7678003681217862,177,0
59.9,stage1,1,1.679983098409401,168,0
60.0,stage1,1,1.6012346814756402,160,0
60.1,stage1,1,1.5306185806803896,153,0
60.2,stage1,1,1.4672949751313482,147,0
