time,stage_id,disturbance_force_N_profile,enable,reset,x_ref_m_profile,x_m,theta_rad,theta_hat_rad,bias_hat_rps,force_cmd_N,x_dot_mps,theta_dot_rps,theta_meas_rad,theta_dot_meas_rps,theta_dot_hat_rps
15.753,stage1,0.0,True,False,0.2,1.5177166836453184,-17.769846596197585,-17.64716434116496,-0.32137718312310726,-4.584043212932381,-6.028089889252084,7.293298419239879,1.0846495423791325,7.351161196410545,7.672538379533652
15.754,stage1,0.0,True,False,0.2,1.5116885937560698,-17.76255329777835,-17.649531855008956,-0.32146998966579193,-4.792362348673619,-6.173074024045682,7.501468588026556,1.084015888173905,7.519709092018539,7.841179081684331
15.755,stage1,0.0,True,False,0.2,1.5055155197320165,-17.755051829190315,-17.651733335851787,-0.32155628771483097,-4.996515101700396,-6.316951998807174,7.70581370680538,1.089950024388333,7.747680641789829,8.06923692950466
15.756,stage1,0.0,True,False,0.2,1.4991985677332127,-17.747346015483515,-17.6536220715724,-0.321630326155079,-5.196584799666278,-6.459696104346542,7.906258322080328,1.1033857996562197,7.973358160930281,8.29498848708536
15.757,stage1,0.0,True,False,0.2,1.4927388716288696,-17.73943975716144,-17.655422691950942,-0.32170091047391786,-5.392653103672844,-6.601279446651024,8.102731858752469,1.1059028310392591,8.16482822564269,8.486529136116609
15.758,stage1,0.0,True,False,0.2,1.4861375921822222,-17.73133702530269,-17.656982715025517,-0.3217620633784412,-5.58480004159928,-6.741675962992989,8.295168697227925,1.1161320758589817,8.355025599816253,8.676787663194695
15.759,stage1,0.0,True,False,0.2,1.479395916219221,-17.72304185660545,-17.65826208343355,-0.321812214620036,-5.7731040407675245,-6.880860435572201,8.48350823966405,1.1286047861117972,8.53994402697935,8.861756241599387
15.76,stage1,0.0,True,False,0.2,1.4725150557836526,-17.71455834836579,-17.659291258598948,-0.3218525582865197,-5.957641959952071,-7.0188085026519955,8.667694965208046,1.1398350798351373,8.753830648907083,9.075683207193602
15.761,stage1,0.0,True,False,0.2,1.4654962472810045,-17.705890653400587,-17.660184383977317,-0.3218875688013517,-6.138489120752929,-7.155496667166843,8.847678474148076,1.1456083940213944,8.908272114547746,9.230159683349097
15.762,stage1,0.0,True,False,0.2,1.4583407506138288,-17.69704297492643,-17.660922370828928,-0.3219164978859349,-6.315719338338087,-7.290902302781347,9.023413520942576,1.152472194980902,9.049582461344956,9.371498959230891
15.763,stage1,0.0,True,False,0.2,1.4510498483110514,-17.68801956140549,-17.661466701852344,-0.32193783566205286,-6.489404951571229,-7.425003657399628,9.194860036161385,1.1614169995389538,9.274558399040487,9.59649623470254
15.764,stage1,0.0,True,False,0.2,1.443624844653656,-17.678824701369333,-17.6617358276287,-0.321948385392486,-6.659616852539711,-7.557779854135912,9.36198313743023,1.1746329308686114,9.395919047985709,9.717867433378196
15.765,stage1,0.0,True,False,0.2,1.4360670647995109,-17.66946271823189,-17.661955143245557,-0.3219569825646668,-6.82642451548912,-7.68921088976288,9.524753129519548,1.176854313067178,9.559680686581519,9.881637669146185
15.766,stage1,0.0,True,False,0.2,1.4283778539097522,-17.659937965102376,-17.662043502006217,-0.3219604462280847,-6.989896025179247,-7.819277630673172,9.683145493783941,1.1831828402601872,9.685836202296588,10.007796648524673
15.767,stage1,0.0,True,False,0.2,1.4205585762790833,-17.650254819608598,-17.661818109086564,-0.3219516108256343,-7.150098104675573,-7.947961806401355,9.837140867212813,1.1987820655151644,9.903371075644916,10.22532268647055
15.768,stage1,0.0,True,False,0.2,1.4126106144726722,-17.640417678741372,-17.661332836822993,-0.3219325881529023,-7.307096142582253,-8.075246000759225,9.986725011397292,1.2120014256306817,10.02659470211548,10.348527290268382
15.769,stage1,0.0,True,False,0.2,1.4045353684719175,-17.63043095372998,-17.660645393118696,-0.3219056403596939,-7.460954219730523,-8.20111364065518,10.131888771776014,1.2225952699306042,10.168240933057545,10.490146573417238
15.77,stage1,0.0,True,False,0.2,1.396334254831267,-17.62029906495821,-17.659823032082702,-0.32187340380708285,-7.611735135335829,-8.32554898267921,10.272628027567574,1.2300285802198445,10.31231835198449,10.634191755791573
15.771,stage1,0.0,True,False,0.2,1.3880087058485775,-17.61002643693063,-17.65885899373319,-0.3218356135037819,-7.759500432629293,-8.448537097539324,10.408943632832246,1.2379348069316407,10.459755681951311,10.781591295455092
15.772,stage1,0.0,True,False,0.2,1.3795601687510428,-17.599617493297806,-17.657722834567824,-0.3217910760644995,-7.904310423976627,-8.570063852451097,10.540841349150574,1.2475048860739832,10.588426540703185,10.910217616767685
15.773,stage1,0.0,True,False,0.2,1.3709901048985964,-17.589076651948663,-17.656343742769717,-0.32173701566601376,-8.046224215497016,-8.690115891590779,10.668331770438778,1.2607876768763084,10.733778956659327,11.05551597232534
15.774,stage1,0.0,True,False,0.2,1.3622999890070104,-17.57840832017823,-17.654787628070668,-0.32167601596981105,-8.185299731187,-8.808680614724258,10.79143024044222,1.271017913721515,10.833575790883394,11.155251806853204
15.775,stage1,0.0,True,False,0.2,1.3534913083922755,-17.567616889937774,-17.65293805221673,-0.32160351259633657,-8.321593736563425,-8.925746154139075,10.910156763479701,1.2872470861649852,10.965959853900697,11.287563366497034
15.776,stage1,0.0,True,False,0.2,1.3445655622381414,-17.556706733174302,-17.65101550620697,-0.321528148792754,-8.455161861832083,-9.041301350006659,11.024535909022413,1.2927451698100754,11.051897894760332,11.373426043553087
15.777,stage1,0.0,True,False,0.2,1.3355242608881397,-17.545682197265286,-17.649026501221364,-0.3214501797973182,-8.586058624595369,-9.155335724313112,11.134596710710213,1.2979906646121755,11.196113009732287,11.517563189529605
