"time","x_m","theta_rad","theta_hat_rad","bias_hat_rps","force_cmd_N","mode"
7.42,0.5738347441617716,-102.66390083343047,-101.83850464687718,-1.2917201386355726,15.0,0.0
7.43,0.565188491772121,-102.83901093694244,-102.00477360901725,-1.2941201386355727,15.0,0.0
7.44,0.556073082632529,-103.01692783262313,-102.17247769186406,-1.296520138635573,-15.0,0.0
7.45,0.5463312227324976,-103.19784366798207,-102.3423728919903,-1.298920138635573,-15.0,0.0
7.46,0.5354026924415466,-103.3828439195887,-102.51460970007004,-1.3013201386355733,-15.0,0.0
7.47,0.5230745165572901,-103.5722411086175,-102.68943093650097,-1.3037201386355735,-15.0,0.0
7.48,0.5094844377685784,-103.76532595998331,-102.86744042469607,-1.3061201386355736,-15.0,0.0
7.49,0.4950404651066039,-103.96051444092869,-103.04841329469429,-1.3085201386355738,-15.0,0.0
7.5,0.4802216882453445,-104.15598471288172,-103.23184371576534,-1.310920138635574,-15.0,0.0
7.51,0.46537892499920763,-104.35034269807105,-103.41765599528767,-1.3133201386355742,-15.0,0.0
7.52,0.45095077304552766,-104.54224047183529,-103.60452572648023,-1.3157201386355744,15.0,1.0
7.53,0.4379870165128304,-104.72961743803025,-103.7921908230808,-1.3181201386355745,15.0,1.0
7.54,0.4273419611540964,-104.91158882768708,-103.97925190996544,-1.3205201386355747,15.0,1.0
7.55,0.4195087346717571,-105.08850361566144,-104.16471440091388,-1.322920138635575,15.0,1.0
7.56,0.41461976673801065,-105.2614286629716,-104.34877634834608,-1.325320138635575,-15.0,0.0
7.57,0.4120096577156426,-105.43164947838132,-104.53037097547707,-1.3277201386355753,-15.0,0.0
7.58,0.41095069769644105,-105.59992912291314,-104.70959401051815,-1.3301201386355754,-15.0,0.0
7.59,0.41084323145819246,-105.76652650748915,-104.88645737536885,-1.3325201386355756,-15.0,0.0
7.6,0.4110190871539886,-105.93113983709355,-105.0616827003838,-1.3349201386355758,-15.0,0.0
7.61,0.41100768249199576,-106.09334911952959,-105.23459985792171,-1.337320138635576,-15.0,0.0
7.62,0.4107183292853953,-106.25323779841847,-105.40521704927825,-1.3397201386355762,15.0,0.0
7.63,0.4107205124027557,-106.41236574675786,-105.57395899248009,-1.3421201386355763,15.0,0.0
7.64,0.41138975429301233,-106.57207278457535,-105.74151892008949,-1.3445201386355765,15.0,0.0
7.65,0.4130181019339154,-106.73361069642098,-105.90721242672065,-1.3469201386355767,15.0,0.0
7.66,0.4157712079336817,-106.89791327480958,-106.07252020935935,-1.3493201386355769,15.0,0.0
7.67,0.4196520049893509,-107.06542860867509,-106.2375368689192,-1.351720138635577,15.0,0.0
7.68,0.42453411906118343,-107.23618804289465,-106.40365393696892,-1.3541201386355772,15.0,0.0
7.69,0.430202368624914,-107.40994522903378,-106.5707802170988,-1.3565201386355774,15.0,0.0
7.7,0.4363954485425239,-107.58634468999944,-106.73941073702291,-1.3589201386355776,15.0,0.0
7.71,0.4428433562536626,-107.7650704396157,-106.90965501383542,-1.3613201386355778,15.0,0.0
7.72,0.4492942859766731,-107.94594088652553,-107.08132019383373,-1.363720138635578,15.0,0.0
7.73,0.45553053332822385,-108.12894309625871,-107.25519963440267,-1.3661201386355781,15.0,0.0
7.74,0.4613767960753755,-108.31421784594487,-107.4310238517046,-1.3685201386355783,15.0,0.0
7.75,0.46670568829426,-108.50201008495156,-107.60870716832439,-1.3709201386355785,15.0,0.0
7.76,0.4714449811120187,-108.6925926258757,-107.78813529712163,-1.3733201386355787,15.0,0.0
7.77,0.4755900631359206,-108.88616211345402,-107.9700541712315,-1.3757201386355788,15.0,0.0
7.78,0.4792235350846758,-109.08270226197834,-108.15458385953298,-1.378120138635579,15.0,0.0
7.79,0.4825407481643709,-109.28181720052957,-108.34142131928746,-1.3805201386355792,15.0,0.0
7.8,0.4857974045136115,-109.48274065436198,-108.5307822427206,-1.3829201386355794,-15.0,0.0
7.81,0.48864967112944857,-109.68590104473594,-108.72222128256361,-1.3853201386355796,-15.0,0.0
7.82,0.4906573562799197,-109.89200363104035,-108.9163151768314,-1.3877201386355797,-15.0,0.0
7.83,0.4917476015616399,-110.10079020711385,-109.1125124347454,-1.39012013863558,-15.0,0.0
7.84,0.4921287480338668,-110.3111481906101,-109.31117833878993,-1.39252013863558,-15.0,0.0
7.85,0.4922110011149932,-110.52141439618535,-109.51197658228934,-1.3949201386355803,-15.0,0.0
7.86,0.49239557748496376,-110.73009001995504,-109.7144585858079,-1.3973201386355805,-15.0,0.0
7.87,0.4931136722682575,-110.93596189722149,-109.91812735576224,-1.3997201386355806,15.0,1.0
7.88,0.49540307791214766,-111.13731570377871,-110.12161963614079,-1.4021201386355808,15.0,1.0
7.89,0.5000472242424878,-111.3337668202159,-110.32417645314409,-1.404520138635581,15.0,1.0
7.9,0.5074722043434307,-111.52607532691653,-110.52551459417663,-1.4069201386355812,-15.0,0.0
7.91,0.5174294596214681,-111.71553707057271,-110.72490315180062,-1.4093201386355814,-15.0,0.0
7.92,0.5289837828192816,-111.903044866336,-110.92222998402661,-1.4117201386355815,-15.0,0.0
7.93,0.5412616939356619,-112.08869416157762,-111.11771863887888,-1.4141201386355817,-15.0,0.0
7.94,0.553450475280279,-112.27190009157508,-111.31104012815344,-1.416520138635582,-15.0,0.0
7.95,0.5647565797173696,-112.4515014316996,-111.50200101960752,-1.418920138635582,-15.0,0.0
7.96,0.5745140394784615,-112.62616712218359,-111.69076001080238,-1.4213201386355823,15.0,0.0
7.97,0.5828754527081669,-112.79628399192943,-111.87643328825945,-1.4237201386355824,15.0,0.0
7.98,0.590181077008687,-112.96287523440675,-112.0588661267795,-1.4261201386355826,15.0,0.0
7.99,0.5965920864500697,-113.12668415402725,-112.23796149888994,-1.4285201386355828,15.0,0.0
8.0,0.6021429912971774,-113.28820789857079,-112.41423774066158,-1.430920138635583,15.0,0.0
8.01,0.6067879616731929,-113.44778621305146,-112.58801630969505,-1.4333201386355832,15.0,0.0
8.02,0.6104393161990549,-113.60570388735053,-112.75858042993995,-1.4357201386355833,15.0,0.0
8.03,0.6129962402147248,-113.76227501813445,-112.92711334967892,-1.4381201386355835,15.0,0.0
8.04,0.6143630947094039,-113.91789281810118,-113.09332795169226,-1.4405201386355837,15.0,0.0
8.05,0.6144830801647356,-114.07308525173772,-113.25757633670125,-1.4429201386355839,15.0,0.0
8.06,0.613512513121617,-114.22875108294483,-113.41992481613141,-1.445320138635584,15.0,0.0
8.07,0.6114552248605992,-114.38550951529034,-113.58142833895828,-1.4477201386355842,15.0,0.0
8.08,0.6082638550266664,-114.54390079212924,-113.74216259163923,-1.4501201386355844,15.0,0.0
8.09,0.6039129403892516,-114.70447656033707,-113.9023614461685,-1.4525201386355846,15.0,0.0
8.1,0.5984043576488874,-114.86775978847754,-114.06298883855584,-1.4549201386355848,15.0,0.0
8.11,0.5917762785575076,-115.03419038100382,-114.22437101142778,-1.457320138635585,15.0,0.0
8.12,0.5841167696637573,-115.20405038623221,-114.38650027839647,-1.4597201386355851,15.0,0.0
8.13,0.5755823544682638,-115.37736407589593,-114.55061831752127,-1.4621201386355853,15.0,0.0
8.14,0.5664184796740015,-115.55377949450134,-114.71701619614853,-1.4645201386355855,-15.0,0.0
8.15,0.556614433196763,-115.73324409679383,-114.88533559376978,-1.4669201386355857,-15.0,0.0
8.16,0.5455935122892671,-115.91689113678375,-115.05605680001898,-1.4693201386355859,-15.0,0.0
8.17,0.5330662889755211,-116.10525020219123,-115.22925252422058,-1.471720138635586,-15.0,0.0
8.18,0.5191113074969202,-116.29781035858602,-115.40603196560744,-1.4741201386355862,-15.0,0.0
8.19,0.5041041462275306,-116.49310013404087,-115.58541599764077,-1.4765201386355864,-15.0,0.0
8.2,0.4885906220059147,-116.6891133991445,-115.76830320663905,-1.4789201386355866,-15.0,0.0
8.21,0.4730152147455216,-116.88418729827357,-115.95323088879879,-1.4813201386355868,-15.0,0.0
8.22,0.45778588772073514,-117.07699138032702,-116.13995217005396,-1.483720138635587,15.0,1.0
8.23,0.4439190054354471,-117.26542789462191,-116.32784391823651,-1.4861201386355871,15.0,1.0
8.24,0.4323188808063464,-117.44841464037187,-116.51501521283319,-1.4885201386355873,15.0,1.0
8.25,0.4235098243806598,-117.62618527135923,-116.70106830021902,-1.4909201386355875,15.0,1.0
8.26,0.4177155143436481,-117.79973437988346,-116.88517869484215,-1.4933201386355877,-15.0,0.0
8.27,0.41439377960969165,-117.97039037294265,-117.06693333871021,-1.4957201386355878,-15.0,0.0
8.28,0.4127730635643647,-118.139034039401,-117.24663868523474,-1.498120138635588,-15.0,0.0
8.29,0.41224760862552806,-118.30602915827492,-117.42422950093903,-1.5005201386355882,-15.0,0.0
8.3,0.4122472519527702,-118.47128964728365,-117.59990326193643,-1.5029201386355884,-15.0,0.0
8.31,0.412213746966217,-118.63435746173121,-117.77302344054596,-1.5053201386355886,-15.0,0.0
8.32,0.41190393494188277,-118.79505932821063,-117.94422232071724,-1.5077201386355887,15.0,0.0
8.33,0.4117698315311799,-118.95468309971854,-118.11333073769701,-1.510120138635589,15.0,0.0
8.34,0.4122563129786671,-119.1146962693701,-118.28088376256714,-1.512520138635589,15.0,0.0
8.35,0.4136413954923399,-119.27630743666221,-118.44737225322197,-1.5149201386355893,15.0,0.0
8.36,0.41612046761717836,-119.44053120973237,-118.61269196116189,-1.5173201386355895,15.0,0.0
8.37,0.41972194400604096,-119.60789460868764,-118.77854108362114,-1.5197201386355896,15.0,0.0
