time,stage_id,enable,load_force_N_profile,x_ref_m_profile,x_m,valve_cmd,spool_u,pA_Pa,pB_Pa
1.79,stage1,True,0.0,0.05,6.348680413371886e+43,1.0,0.49999999999998823,21000000.0,100000.0
1.8,stage1,True,0.0,0.05,-1.1599949929775697e+44,-1.0,0.249999999999988,100000.0,21000000.0
1.81,stage1,True,0.0,0.05,2.1194772710544554e+44,1.0,0.49999999999998823,21000000.0,100000.0
1.82,stage1,True,0.0,0.05,-3.872589045393667e+44,-1.0,0.249999999999988,100000.0,21000000.0
1.83,stage1,True,0.0,0.05,7.075775767598555e+44,1.0,0.49999999999998823,21000000.0,100000.0
1.84,stage1,True,0.0,0.05,-1.2928457454809908e+45,-1.0,0.249999999999988,100000.0,21000000.0
1.85,stage1,True,0.0,0.05,2.3622146553346352e+45,1.0,0.49999999999998823,21000000.0,100000.0
1.86,stage1,True,0.0,0.05,-4.316105070834823e+45,-1.0,0.249999999999988,100000.0,21000000.0
1.87,stage1,True,0.0,0.05,7.886143175183667e+45,1.0,0.49999999999998823,21000000.0,100000.0
1.88,stage1,True,0.0,0.05,-1.4409114967968427e+46,-1.0,0.24999999999999356,100000.0,21000000.0
1.89,stage1,True,0.0,0.05,2.63275202526768e+46,1.0,0.4999999999999938,21000000.0,100000.0
1.9,stage1,True,0.0,0.05,-4.810415658393524e+46,-1.0,0.24999999999999356,100000.0,21000000.0
1.91,stage1,True,0.0,0.05,8.789319535008277e+46,1.0,0.4999999999999938,21000000.0,100000.0
1.92,stage1,True,0.0,0.05,-1.605934775172358e+47,-1.0,0.24999999999999356,100000.0,21000000.0
1.93,stage1,True,0.0,0.05,2.934273229953136e+47,1.0,0.4999999999999938,21000000.0,100000.0
1.94,stage1,True,0.0,0.05,-5.361338157146227e+47,-1.0,0.24999999999999356,100000.0,21000000.0
1.95,stage1,True,0.0,0.05,9.795933978422037e+47,1.0,0.4999999999999938,21000000.0,100000.0
1.96,stage1,True,0.0,0.05,-1.789857675395761e+48,-1.0,0.24999999999999356,100000.0,21000000.0
1.97,stage1,True,0.0,0.05,3.2703267551923255e+48,1.0,0.4999999999999938,21000000.0,100000.0
1.98,stage1,True,0.0,0.05,-5.975356159735963e+48,-1.0,0.24999999999999356,100000.0,21000000.0
1.99,stage1,True,0.0,0.05,1.0917832959353559e+49,1.0,0.4999999999999938,21000000.0,100000.0
2.0,stage1,True,0.0,0.08,-1.994844714555291e+49,-1.0,0.24999999999999356,100000.0,21000000.0
2.01,stage1,True,0.0,0.08,3.644867484237869e+49,1.0,0.49999999999998823,21000000.0,100000.0
2.02,stage1,True,0.0,0.08,-6.659695805254143e+49,-1.0,0.24999999999998246,100000.0,21000000.0
2.03,stage1,True,0.0,0.08,1.2168219670620568e+50,1.0,0.49999999999997713,21000000.0,100000.0
2.04,stage1,True,0.0,0.08,-2.223308305398874e+50,-1.0,0.24999999999997136,100000.0,21000000.0
2.05,stage1,True,0.0,0.08,4.06230324127788e+50,1.0,0.499999999999966,21000000.0,100000.0
2.06,stage1,True,0.0,0.08,-7.4224108208602605e+50,-1.0,0.24999999999996025,100000.0,21000000.0
2.07,stage1,True,0.0,0.08,1.3561809427175778e+51,1.0,0.4999999999999549,21000000.0,100000.0
2.08,stage1,True,0.0,0.08,-2.477937147081348e+51,-1.0,0.24999999999994915,100000.0,21000000.0
2.09,stage1,True,0.0,0.08,4.5275466654029805e+51,1.0,0.4999999999999438,21000000.0,100000.0
2.1,stage1,True,0.0,0.08,-8.272477302966099e+51,-1.0,0.24999999999993805,100000.0,21000000.0
2.11,stage1,True,0.0,0.08,1.5115002844919392e+52,1.0,0.4999999999999327,21000000.0,100000.0
2.12,stage1,True,0.0,0.08,-2.7617278674196595e+52,-1.0,0.24999999999992695,100000.0,21000000.0
2.13,stage1,True,0.0,0.08,5.046073025546305e+52,1.0,0.4999999999999216,21000000.0,100000.0
2.14,stage1,True,0.0,0.08,-9.219899353422974e+52,-1.0,0.24999999999991585,100000.0,21000000.0
2.15,stage1,True,0.0,0.08,1.6846078853173945e+53,1.0,0.4999999999999105,21000000.0,100000.0
2.16,stage1,True,0.0,0.08,-3.07802028904002e+53,-1.0,0.24999999999990474,100000.0,21000000.0
2.17,stage1,True,0.0,0.08,5.623984656794185e+53,1.0,0.4999999999998994,21000000.0,100000.0
2.18,stage1,True,0.0,0.08,-1.0275826813906185e+54,-1.0,0.24999999999989364,100000.0,21000000.0
2.19,stage1,True,0.0,0.08,1.8775409812294212e+54,1.0,0.4999999999998883,21000000.0,100000.0
2.2,stage1,True,0.0,0.08,-3.430536734451669e+54,-1.0,0.24999999999988254,100000.0,21000000.0
2.21,stage1,True,0.0,0.08,6.268082776394647e+54,1.0,0.4999999999998772,21000000.0,100000.0
2.22,stage1,True,0.0,0.08,-1.1452686484065698e+55,-1.0,0.24999999999987144,100000.0,21000000.0
2.23,stage1,True,0.0,0.08,2.092570126805366e+55,1.0,0.4999999999998661,21000000.0,100000.0
2.24,stage1,True,0.0,0.08,-3.823425832612928e+55,-1.0,0.24999999999986033,100000.0,21000000.0
2.25,stage1,True,0.0,0.08,6.985947524638318e+55,1.0,0.499999999999855,21000000.0,100000.0
2.26,stage1,True,0.0,0.08,-1.2764328367696411e+56,-1.0,0.24999999999986033,100000.0,21000000.0
2.27,stage1,True,0.0,0.08,2.3322259164384434e+56,1.0,0.4999999999998661,21000000.0,100000.0
2.28,stage1,True,0.0,0.08,-4.261311342531274e+56,-1.0,0.24999999999987144,100000.0,21000000.0
2.29,stage1,True,0.0,0.08,7.7860271725822875e+56,1.0,0.4999999999998772,21000000.0,100000.0
2.3,stage1,True,0.0,0.08,-1.4226188668055294e+57,-1.0,0.24999999999988254,100000.0,21000000.0
2.31,stage1,True,0.0,0.08,2.5993287659184436e+57,1.0,0.4999999999998883,21000000.0,100000.0
