time,stage_id,y
0.888,stage1,-52
0.889,stage1,-52
0.89,stage1,-52
0.891,stage1,-52
0.892,stage1,-52
0.893,stage1,-52
0.894,stage1,-52
0.895,stage1,-52
0.896,stage1,-52
0.897,stage1,-52
0.898,stage1,-52
0.899,stage1,-52
0.9,stage1,-52
0.901,stage1,-52
0.902,stage1,-52
0.903,stage1,-52
0.904,stage1,-52
0.905,stage1,-52
0.906,stage1,-52
0.907,stage1,-52
0.908,stage1,-52
0.909,stage1,-52
0.91,stage1,-52
0.911,stage1,-52
0.912,stage1,-52
0.913,stage1,-52
0.914,stage1,-52
0.915,stage1,-52
0.916,stage1,-52
0.917,stage1,-52
0.918,stage1,-52
0.919,stage1,-52
0.92,stage1,-52
0.921,stage1,-52
0.922,stage1,-52
0.923,stage1,-52
0.924,stage1,-52
0.925,stage1,-52
0.926,stage1,-52
0.927,stage1,-52
0.928,stage1,-52
0.929,stage1,-52
0.93,stage1,-52
0.931,stage1,-52
0.932,stage1,-52
0.933,stage1,-52
0.934,stage1,-52
0.935,stage1,-52
0.936,stage1,-52
0.937,stage1,-52
0.938,stage1,-52
0.939,stage1,-52
0.94,stage1,-52
0.941,stage1,-52
0.942,stage1,-53
0.943,stage1,-53
0.944,stage1,-53
0.945,stage1,-53
0.946,stage1,-53
0.947,stage1,-53
0.948,stage1,-53
0.949,stage1,-53
0.95,stage1,-53
0.951,stage1,-53
0.952,stage1,-53
0.953,stage1,-53
0.954,stage1,-53
0.955,stage1,-53
0.956,stage1,-53
0.957,stage1,-53
0.958,stage1,-53
0.959,stage1,-53
0.96,stage1,-53
0.961,stage1,-53
0.962,stage1,-53
0.963,stage1,-53
0.964,stage1,-53
0.965,stage1,-53
0.966,stage1,-53
0.967,stage1,-53
0.968,stage1,-53
0.969,stage1,-53
0.97,stage1,-53
0.971,stage1,-53
0.972,stage1,-53
0.973,stage1,-53
0.974,stage1,-53
0.975,stage1,-53
0.976,stage1,-53
0.977,stage1,-53
0.978,stage1,-53
0.979,stage1,-53
0.98,stage1,-53
0.981,stage1,-53
0.982,stage1,-53
0.983,stage1,-53
0.984,stage1,-53
0.985,stage1,-53
0.986,stage1,-53
0.987,stage1,-53
0.988,stage1,-53
0.989,stage1,-53
0.99,stage1,-53
0.991,stage1,-53
0.992,stage1,-53
0.993,stage1,-53
0.994,stage1,-53
0.995,stage1,-53
0.996,stage1,-53
0.997,stage1,-53
0.998,stage1,-53
0.999,stage1,-53
1.0,stage1,-53
1.001,stage1,-53
1.002,stage1,-53
1.003,stage1,-53
1.004,stage1,-53
1.005,stage1,-53
1.006,stage1,-53
1.007,stage1,-53
1.008,stage1,-53
1.009,stage1,-53
1.01,stage1,-53
1.011,stage1,-53
1.012,stage1,-54
1.013,stage1,-54
1.014,stage1,-54
1.015,stage1,-54
1.016,stage1,-54
1.017,stage1,-54
1.018,stage1,-54
1.019,stage1,-54
1.02,stage1,-54
1.021,stage1,-54
1.022,stage1,-54
1.023,stage1,-54
1.024,stage1,-54
1.025,stage1,-54
1.026,stage1,-54
1.027,stage1,-54
1.028,stage1,-54
1.029,stage1,-54
1.03,stage1,-54
1.031,stage1,-54
1.032,stage1,-54
1.033,stage1,-54
1.034,stage1,-54
1.035,stage1,-54
1.036,stage1,-54
1.037,stage1,-54
1.038,stage1,-54
1.039,stage1,-54
1.04,stage1,-54
1.041,stage1,-54
1.042,stage1,-54
1.043,stage1,-54
1.044,stage1,-54
1.045,stage1,-54
1.046,stage1,-54
1.047,stage1,-54
1.048,stage1,-54
1.049,stage1,-54
1.05,stage1,-54
1.051,stage1,-54
1.052,stage1,-54
1.053,stage1,-54
1.054,stage1,-54
1.055,stage1,-54
1.056,stage1,-54
1.057,stage1,-54
1.058,stage1,-54
1.059,stage1,-54
1.06,stage1,-54
1.061,stage1,-54
1.062,stage1,-54
1.063,stage1,-54
1.064,stage1,-54
1.065,stage1,-54
1.066,stage1,-54
1.067,stage1,-54
1.068,stage1,-54
1.069,stage1,-54
1.07,stage1,-54
1.071,stage1,-54
1.072,stage1,-54
1.073,stage1,-54
1.074,stage1,-54
1.075,stage1,-54
1.076,stage1,-54
1.077,stage1,-54
1.078,stage1,-54
1.079,stage1,-54
1.08,stage1,-54
1.081,stage1,-54
1.082,stage1,-54
1.083,stage1,-54
1.084,stage1,-54
1.085,stage1,-54
1.086,stage1,-54
1.087,stage1,-54
1.088,stage1,-54
1.089,stage1,-54
1.09,stage1,-54
1.091,stage1,-54
1.092,stage1,-54
1.093,stage1,-54
1.094,stage1,-54
1.095,stage1,-54
1.096,stage1,-54
1.097,stage1,-54
1.098,stage1,-54
1.099,stage1,-54
1.1,stage1,-54
1.101,stage1,-54
1.102,stage1,-54
1.103,stage1,-54
1.104,stage1,-54
1.105,stage1,-54
1.106,stage1,-54
1.107,stage1,-54
1.108,stage1,-54
1.109,stage1,-54
1.11,stage1,-54
1.111,stage1,-54
