"time","x_m","v_mps","valve_cmd","spool_u","pA_Pa","pB_Pa"
2.12,0.10551198312786625,2.063213857902561,-1.0,0.03179871554619945,18865070.03694087,1243861.0578424726
2.13,0.10993880466096449,3.3180337817778236,-1.0,0.01427772288978485,14259114.784260567,6342659.250124172
2.14,0.11397502187207113,3.601140929567733,-1.0,-0.017940461331412777,3793601.9127018154,20812073.39117448
2.15,0.11557330182752017,1.3147352764836224,-1.0,-0.04495321557015055,100000.0,21000000.0
2.16,0.11485633955487057,-0.9604698326174224,0.031087000993381242,-0.04200628254944068,100000.0,20728817.28304453
2.17,0.11239285232619292,-2.750427847053781,1.0,-0.01560607313112599,2557393.1363367694,16766549.637999227
2.18,0.10922040990049815,-3.569315685364698,1.0,0.006800479946286624,10247522.118479462,6517835.028191784
2.19,0.10666839910948121,-2.614592232808539,1.0,0.030866693378678353,21000000.0,100000.0
2.2,0.10657276183787162,-0.10688777747474543,1.0,0.05701653245758202,21000000.0,100000.0
2.21,0.1086465516991622,1.9488789612118955,-1.0,0.03344931470899595,19062688.684519965,965349.4355612274
2.22,0.11192519147283371,3.264114880781379,-1.0,0.006979836318367294,15361346.720945172,5585517.05887869
2.23,0.11544193057905645,3.5607510187377285,-1.0,-0.0190045369087274,3813761.337453546,21000000.0
2.24,0.11674061228423321,1.288630246168999,-1.0,-0.043183398839310994,100000.0,21000000.0
2.25,0.11590093754688796,-0.952518605865222,-0.13067753349716282,-0.04318327778664608,100000.0,20707810.382958133
2.26,0.11313853460840821,-2.7457084234378333,1.0,-0.018976434414298457,2632871.683443087,16445526.042555409
2.27,0.10947227197166735,-3.5794403017570797,1.0,0.0068775200278482565,10456809.365984919,6228184.534534046
2.28,0.10693127020194977,-2.5147053229209995,1.0,0.0331431499878262,21000000.0,100000.0
2.29,0.10687057275982137,-0.14055722269308069,1.0,0.056710086256260846,21000000.0,100000.0
2.3,0.10869299946748318,1.8731692147486192,-1.0,0.03110606697162932,19403665.224332992,657330.1724345399
2.31,0.1119902384278608,3.266240640117254,-1.0,0.00710355483153742,15290713.329781242,5659284.246202884
2.32,0.11557615988438989,3.516466382470369,-1.0,-0.017033199682175745,4084896.496180704,20545603.69146526
2.33,0.11686003271307618,1.2993797561669447,-1.0,-0.0434428402274962,100000.0,21000000.0
2.34,0.11582680754632907,-0.9806260617889997,-0.053809852624012944,-0.04237972032579645,100000.0,20681626.802917942
2.35,0.11313359820417586,-2.7584096384604115,1.0,-0.017444289355748627,2609037.405406509,16550455.858919483
2.36,0.10962056671802883,-3.57510567179567,1.0,0.0062348195170920245,10242394.605313325,6490529.969048398
2.37,0.10695631086947448,-2.5719379311002077,1.0,0.0317274160799062,21000000.0,100000.0
2.38,0.10687088626626619,-0.08573350847598427,1.0,0.057898658734744785,21000000.0,100000.0
2.39,0.10877917656749603,1.8905434120207842,-1.0,0.0319564004400068,19302820.63566818,742218.8429451772
2.4,0.11198341288281488,3.2640208126572636,-1.0,0.006214597684621494,15430943.998588385,5543990.118528448
2.41,0.11554281281399369,3.53006948845996,-1.0,-0.01783996112280809,3953668.9134482574,20789193.318394445
2.42,0.11690000136119305,1.314365835974049,-1.0,-0.04219230569436225,100000.0,21000000.0
2.43,0.11589384031322485,-0.9709194207988836,-0.09519544078339948,-0.043575951694092604,100000.0,20609919.759618357
2.44,0.11307472784038468,-2.7652657353561945,1.0,-0.01737119567189563,2637683.9292006996,16515788.898662457
2.45,0.10955622636100852,-3.5902799447299993,1.0,0.007408046684865187,10549845.573389921,6100889.508919615
2.46,0.10701266497477867,-2.6018688060006507,1.0,0.0312895183463369,21000000.0,100000.0
2.47,0.10683859067351034,-0.12114004198779327,1.0,0.05684968553013912,21000000.0,100000.0
2.48,0.10879963664956042,1.9237611965401462,-1.0,0.03281430361331886,19161795.170419972,875070.079610941
2.49,0.11203643441843493,3.261200877675212,-1.0,0.0068726118418868665,15371780.555255707,5582047.926275283
2.5,0.11553955216052192,3.55054980605491,-1.0,-0.018676941459147778,3871153.508844709,20987826.152032852
2.51,0.11685394131573064,1.2992561153344457,-1.0,-0.04265492821602505,100000.0,21000000.0
2.52,0.11594103938699472,-0.9596638651431886,-0.12348781307155887,-0.04353665867439693,100000.0,20654028.890747663
2.53,0.11312920274231894,-2.7549963150493353,1.0,-0.01838959789437484,2641689.837968766,16459574.220603786
2.54,0.1094909141927966,-3.59221410894059,1.0,0.007692339622265357,10660225.927727494,5964855.024622716
2.55,0.10701000775234965,-2.5643431383785957,1.0,0.03218278686450126,21000000.0,100000.0
2.56,0.10685692225543246,-0.14786229732911194,1.0,0.05632527031416297,21000000.0,100000.0
2.57,0.10874963660592318,1.9045791142203643,-1.0,0.03205415642680836,19260601.91583042,788847.824659472
2.58,0.11206359889614567,3.262362902195073,-1.0,0.0077248251796349435,15246642.584317083,5681925.898274725
2.59,0.11557174698705255,3.5443283344807206,-1.0,-0.01829029956378659,3945495.030781567,20861318.053712793
2.6,0.11682843739075914,1.2882301252967143,-1.0,-0.043540745308713574,100000.0,21000000.0
2.61,0.11589824914616764,-0.9672093229464873,-0.09167909402565488,-0.04256425639466367,100000.0,20714139.083322763
2.62,0.11318683135491006,-2.748363784298106,1.0,-0.018577257605365237,2619556.8016876583,16476674.748962764
2.63,0.10953775979935167,-3.580601886575967,1.0,0.00680103340244053,10431605.06055548,6254700.463569995
2.64,0.10696738443476767,-2.533637892203318,1.0,0.032694148783054225,21000000.0,100000.0
2.65,0.10688685369741516,-0.1272048648707016,1.0,0.05698545814529157,21000000.0,100000.0
2.66,0.10873300203834922,1.8798695884084697,-1.0,0.031400088844407946,19366521.499587882,689513.164830987
2.67,0.1120256201729717,3.2645727027279947,-1.0,0.007228961324522214,15286221.878151953,5659689.116024695
2.68,0.11558551911587886,3.523935458718247,-1.0,-0.017406291120374277,4043317.245058093,20640779.386904173
2.69,0.11686326068094885,1.297060188550125,-1.0,-0.04340064494612048,100000.0,21000000.0
2.7,0.11585470582400788,-0.9773961142588177,-0.06421400203576111,-0.042438815538397096,100000.0,20688725.27436034
2.71,0.11315377521957566,-2.7559412774343794,1.0,-0.017757929783399046,2612669.177751273,16527377.922152784
2.72,0.10960050823300259,-3.5772863691537076,1.0,0.00642989829406837,10305896.301005453,6410589.376159763
2.73,0.1069653589150457,-2.5620368555427318,1.0,0.03198241400581566,21000000.0,100000.0
2.74,0.10687885122506297,-0.09730312398031815,1.0,0.05764153330019505,21000000.0,100000.0
2.75,0.10877092971759644,1.8883260086389728,-1.0,0.03182621937363541,19316871.805208225,730942.1359949849
2.76,0.11199914912977853,3.264014301624381,-1.0,0.006504742389706011,15389735.932468962,5577188.683230811
2.77,0.11556158439323401,3.5264452617018245,-1.0,-0.017636557950918078,3989957.745422194,20725545.857943803
2.78,0.11689405210106339,1.3091918264670488,-1.0,-0.042562201288681226,100000.0,21000000.0
2.79,0.11588282093678767,-0.973449509367315,-0.08455255747957802,-0.043224138768420656,100000.0,20632590.586837016
2.8,0.11309854004746167,-2.7633173844302767,1.0,-0.01741390218786698,2629949.040403227,16523632.89254237
2.81,0.10957819976961233,-3.585809595520699,1.0,0.007064500462473831,10461218.474867508,6211593.754186353
2.82,0.10699935989819272,-2.590419301346565,1.0,0.03147659433882153,21000000.0,100000.0
2.83,0.10685332416358036,-0.1116617838813645,1.0,0.057142232520268,21000000.0,100000.0
2.84,0.10879603640959722,1.9135566607776822,-1.0,0.032546476283503815,19205267.074881,834295.887309025
2.85,0.11202529445511093,3.2619634792839043,-1.0,0.006710723913476532,15384343.595438376,5574985.315728204
2.86,0.11554647979317334,3.5430145069896666,-1.0,-0.018369863254486724,3904217.7241407707,20912685.837912716
2.87,0.11687117476745609,1.303515266806869,-1.0,-0.04254870690463015,100000.0,21000000.0
2.88,0.11592571916046181,-0.9640464949837102,-0.11193561305613464,-0.04347478186602453,100000.0,20644001.83632164
2.89,0.11311828895685812,-2.7580277586002033,1.0,-0.01806573009633307,2638911.442426529,16477976.003279764
