time,stage_id,disturbance_N_profile,theta_ref_rad,x_ref_m_profile,theta_rad,x_m,force_cmd_N
0.66,stage1,0.0,0.0,0.0,1.867465853591585,-2.3328539401653092,4.184038154759872
0.67,stage1,0.0,0.0,0.0,1.8617646307521312,-2.396453263986357,6.239681872854209
0.68,stage1,0.0,0.0,0.0,1.8545312615030256,-2.459367090509604,7.991745498283369
0.69,stage1,0.0,0.0,0.0,1.8458069662308323,-2.5214756173137043,9.393396398626681
0.7,stage1,0.0,0.0,0.0,1.8356138682132954,-2.582682495273894,10.514717118901345
0.71,stage1,0.0,0.0,0.0,1.823957797617447,-2.642910039392362,11.411773695121077
0.72,stage1,0.0,0.0,0.0,1.8108306016553435,-2.7020953699937817,12.129418956096863
0.73,stage1,0.0,0.0,0.0,1.7962120212832502,-2.7601872991373306,12.703535164877492
0.74,stage1,0.0,0.0,0.0,1.780071194289304,-2.817143812979956,13.162828131901994
0.75,stage1,0.0,0.0,0.0,1.7623678400641498,-2.8729300298270704,13.530262505521597
0.76,stage1,0.0,0.0,0.0,1.7430531748982605,-2.927516537023253,13.824210004417278
0.77,stage1,0.0,0.0,0.0,1.722070599555312,-2.9808780287295664,14.059368003533823
0.78,stage1,0.0,0.0,0.0,1.699356193851543,-3.0329921818767835,14.247494402827058
0.79,stage1,0.0,0.0,0.0,1.6748390464149308,-3.0838387198893438,14.397995522261647
0.8,stage1,0.0,0.0,0.0,1.6484414419013758,-3.1333986237297324,14.518396417809317
0.81,stage1,0.0,0.0,0.0,1.6200789228031212,-3.1816534579011546,14.614717134247453
0.82,stage1,0.0,0.0,0.0,1.5896602386546848,-3.2285847856709577,14.691773707397962
0.83,stage1,0.0,0.0,0.0,1.5570871919894604,-3.2741736532800236,14.75341896591837
0.84,stage1,0.0,0.0,0.0,1.5222543879395491,-3.318400127583102,14.802735172734696
0.85,stage1,0.0,0.0,0.0,1.485048893102995,-3.3612428756954156,14.842188138187757
0.86,stage1,0.0,0.0,0.0,1.4453498095603594,-3.402678779069205,14.873750510550206
0.87,stage1,0.0,0.0,0.0,1.4030277722328386,-3.4426825782724375,14.899000408440164
0.88,stage1,0.0,0.0,0.0,1.357944382936138,-3.481226548912499,14.919200326752131
0.89,stage1,0.0,0.0,0.0,1.309951603678,-3.518280214031492,14.935360261401705
0.9,stage1,0.0,0.0,0.0,1.2588911466752446,-3.5538101043926185,14.948288209121364
0.91,stage1,0.0,0.0,0.0,1.2045939216279338,-3.587779586018738,14.95863056729709
0.92,stage1,0.0,0.0,0.0,1.146879635267566,-3.6201487849545266,14.966904453837673
0.93,stage1,0.0,0.0,0.0,1.085556688398979,-3.6508746535183603,14.973523563070138
0.94,stage1,0.0,0.0,0.0,1.0204225868451966,-3.6799112414541866,14.978818850456111
0.95,stage1,0.0,0.0,0.0,0.9512651805044542,-3.7072102605105304,14.983055080364888
0.96,stage1,0.0,0.0,0.0,0.877865173347625,-3.7327220626516735,14.986444064291911
0.97,stage1,0.0,0.0,0.0,0.8000005053193968,-3.7563971893350714,14.989155251433528
0.98,stage1,0.0,0.0,0.0,0.7174533797664701,-3.7781886874294046,14.991324201146822
0.99,stage1,0.0,0.0,0.0,0.6300208542002206,-3.7980554146934775,14.993059360917458
1.0,stage1,0.0,0.0,0.0,0.5375299357459469,-3.815966550612179,14.994447488733966
