time,stage_id,valve,level,leak
4.8,stage1,False,1.0,False
4.81,stage1,False,1.0,False
4.82,stage1,False,1.0,False
4.83,stage1,False,1.0,False
4.84,stage1,False,1.0,False
4.85,stage1,False,1.0,False
4.86,stage1,False,1.0,False
4.87,stage1,False,1.0,False
4.88,stage1,False,1.0,False
4.89,stage1,False,1.0,False
4.9,stage1,False,1.0,False
4.91,stage1,False,1.0,False
4.92,stage1,False,1.0,False
4.93,stage1,False,1.0,False
4.94,stage1,False,1.0,False
4.95,stage1,False,1.0,False
4.96,stage1,False,1.0,False
4.97,stage1,False,1.0,False
4.98,stage1,False,1.0,False
4.99,stage1,False,1.0,False
5.0,stage1,False,1.0,False
5.01,stage1,False,1.0,False
5.02,stage1,False,1.0,False
5.03,stage1,False,1.0,False
5.04,stage1,False,1.0,False
5.05,stage1,False,1.0,False
5.06,stage1,False,1.0,False
5.07,stage1,False,1.0,False
5.08,stage1,False,1.0,False
5.09,stage1,False,1.0,False
5.1,stage1,False,1.0,False
5.11,stage1,False,1.0,False
5.12,stage1,False,1.0,False
5.13,stage1,False,1.0,False
5.14,stage1,False,1.0,False
5.15,stage1,False,1.0,False
5.16,stage1,False,1.0,False
5.17,stage1,False,1.0,False
5.18,stage1,False,1.0,False
5.19,stage1,False,1.0,False
5.2,stage1,False,1.0,False
5.21,stage1,False,1.0,False
5.22,stage1,False,1.0,False
5.23,stage1,False,1.0,False
5.24,stage1,False,1.0,False
5.25,stage1,False,1.0,False
5.26,stage1,False,1.0,False
5.27,stage1,False,1.0,False
5.28,stage1,False,1.0,False
5.29,stage1,False,1.0,False
5.3,stage1,False,1.0,False
5.31,stage1,False,1.0,False
5.32,stage1,False,1.0,False
5.33,stage1,False,1.0,False
5.34,stage1,False,1.0,False
5.35,stage1,False,1.0,False
5.36,stage1,False,1.0,False
5.37,stage1,False,1.0,False
5.38,stage1,False,1.0,False
5.39,stage1,False,1.0,False
5.4,stage1,False,1.0,False
5.41,stage1,False,1.0,False
5.42,stage1,False,1.0,False
5.43,stage1,False,1.0,False
5.44,stage1,False,1.0,False
5.45,stage1,False,1.0,False
5.46,stage1,False,1.0,False
5.47,stage1,False,1.0,False
5.48,stage1,False,1.0,False
5.49,stage1,False,1.0,False
5.5,stage1,False,1.0,False
5.51,stage1,False,1.0,False
5.52,stage1,False,1.0,False
5.53,stage1,False,1.0,False
5.54,stage1,False,1.0,False
5.55,stage1,False,1.0,False
5.56,stage1,False,1.0,False
5.57,stage1,False,1.0,False
5.58,stage1,False,1.0,False
5.59,stage1,False,1.0,False
5.6,stage1,False,1.0,False
5.61,stage1,False,1.0,False
5.62,stage1,False,1.0,False
5.63,stage1,False,1.0,False
5.64,stage1,False,1.0,False
5.65,stage1,False,1.0,False
5.66,stage1,False,1.0,False
5.67,stage1,False,1.0,False
5.68,stage1,False,1.0,False
5.69,stage1,False,1.0,False
5.7,stage1,False,1.0,False
5.71,stage1,False,1.0,False
5.72,stage1,False,1.0,False
5.73,stage1,False,1.0,False
5.74,stage1,False,1.0,False
5.75,stage1,False,1.0,False
5.76,stage1,False,1.0,False
5.77,stage1,False,1.0,False
5.78,stage1,False,1.0,False
5.79,stage1,False,1.0,False
5.8,stage1,False,1.0,False
5.81,stage1,False,1.0,False
5.82,stage1,False,1.0,False
5.83,stage1,False,1.0,False
5.84,stage1,False,1.0,False
5.85,stage1,False,1.0,False
5.86,stage1,False,1.0,False
5.87,stage1,False,1.0,False
