case_id,source_type,case_category,ground_truth_fmu_count,ok,bundle_name,top1_hit,topk_hit,execution_success,execution_time_seconds,mae,rmse,nrmse,decision_correct,error,artifact_root
case_bench_fmu-001758,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.6612740298733115,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001758
case_bench_fmu-001750,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,6.060521926730871,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001750
case_bench_fmu-001930,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,0.7345168828032911,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001930
case_bench_fmu-001934,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,0.8383121402002871,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001934
case_bench_fmu-001938,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2679075663909316,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001938
case_bench_fmu-001776,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,5.163647742010653,6.781304687748312e-09,9.185831251569275e-08,3.609201586188647e-08,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001776
case_bench_fmu-001942,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.4625871847383678,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001942
case_bench_fmu-002019,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,5.42208355339244,6.781304687748312e-09,9.185831251569275e-08,3.609201586188647e-08,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002019
case_bench_fmu-002241,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,4.470997800119221,6.781304687748312e-09,9.185831251569275e-08,3.609201586188647e-08,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002241
case_bench_fmu-002272,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.1804797230288386,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002272
case_bench_fmu-002268,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.285285180900246,0.008991008991008992,0.0948209311861521,0.00948209311861521,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002268
case_bench_fmu-002276,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.6026307991705835,0.0008199292368592185,0.0014400229241439946,0.001440088294359958,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002276
case_bench_fmu-002274,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.879523040726781,0.09306180476619179,0.14074090406296627,0.029453709465792205,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002274
case_bench_fmu-002288,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2897912291809916,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002288
case_bench_fmu-002292,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.1523766559548676,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002292
case_bench_fmu-002300,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2672541136853397,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002300
case_bench_fmu-002296,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.5304821990430355,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002296
case_bench_fmu-001599,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,35.427877105306834,0.004166283001203105,0.009021805054211803,0.003975988120177829,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001599
case_bench_fmu-002302,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,5.559029151219875,27.999835987262166,28.16007512887758,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002302
case_bench_fmu-002303,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,5.749582435935736,4.544989062507463,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002303
case_bench_fmu-002305,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,6.524799171835184,27.999835987262166,28.16007512887758,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002305
case_bench_fmu-002306,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,6.493329321965575,4.544989062507463,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002306
case_bench_fmu-002308,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002308
case_bench_fmu-002309,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,4.5990754826925695,4.544989062507464,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002309
case_bench_fmu-002304,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,17.068017192184925,43.36497853133358,43.36497853133358,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002304
case_bench_fmu-002311,benchmark_single_fmu_case,simple,1,False,ablation_stage1_rule_template,,,,,,,,,ValueError: compose() received empty selected_fmus,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002311
case_bench_fmu-002312,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.9473918210715055,0.009636393256078518,0.026438578278458753,0.006844563133325687,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002312
case_bench_fmu-001596,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,58.49603621009737,0.09402364010939597,0.3869423084496839,0.002634110534329472,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-001596
case_bench_fmu-002314,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.825184706132859,0.0002489954144356016,0.002424534338226431,5.5303961708274996e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002314
case_bench_fmu-002315,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2756489519961178,0.009636393256078518,0.026438578278458753,0.006844563133325687,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002315
case_bench_fmu-002307,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,15.396299577783793,43.36497853133358,43.36497853133358,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002307
case_bench_fmu-002317,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,0.9330545738339424,0.014467351659193738,0.02777021761617525,0.0006334357803687285,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002317
case_bench_fmu-002319,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.244173462036997,0.000248995414436756,0.002424534338226282,5.53039617082716e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002319
case_bench_fmu-002320,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,0.8361924290657043,0.12585279993612136,0.20047321828594059,0.04023534093699898,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002320
case_bench_fmu-002310,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,23.381710378918797,0.040722823917057005,0.053080601125838824,0.0012276349617890874,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002310
case_bench_fmu-002322,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.154657472856343,0.0002489954144356016,0.002424534338226431,5.5303961708274996e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002322
case_bench_fmu-002313,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,24.661993545945734,0.040722823917057005,0.053080601125838824,0.0012276349617890874,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002313
case_bench_fmu-002323,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,3.897114720661193,4.544989062507464,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002323
case_bench_fmu-002325,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.371291154064238,0.000248995414436756,0.002424534338226282,5.53039617082716e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002325
case_bench_fmu-002316,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,27.778575646225363,0.040722823917057005,0.053080601125838824,0.0012276349617890874,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002316
case_bench_fmu-002326,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,5.857757043093443,4.544989062507464,4.965155948801182,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002326
case_bench_fmu-002321,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,26.236838065087795,0.040722823917057005,0.053080601125838824,0.0012276349617890874,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002321
case_bench_fmu-002340,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.7613928928039968,6.855169468241977,52.698385704938374,0.07449612105321644,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002340
case_bench_fmu-002336,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,3.9498809739015996,6.781304687748312e-09,9.185831251569275e-08,3.609201586188647e-08,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002336
case_bench_fmu-002324,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,13.956654886249453,43.23809827677283,43.23809827677283,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002324
case_bench_fmu-002342,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.2137188632041216,0.006603539359751376,0.014664786219695861,0.013089261218998186,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002342
case_bench_fmu-002343,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.5017326958477497,0.0017679612439688143,0.0024603183702640503,0.0008559886404041429,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002343
case_bench_fmu-002341,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,2.9319831617176533,0.0010577215039987808,0.051128537410969205,0.0004659863765768997,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002341
case_bench_fmu-002345,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.3525449382141232,4.357205794700626e-07,5.195734734048013e-07,0.027639217944848936,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002345
case_bench_fmu-002344,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.038740655872971,0.0019980625719228495,0.0037488606945270593,0.0016458369160611617,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002344
case_bench_fmu-002349,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,False,2.007169564254582,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002349
case_bench_fmu-002350,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,False,1.8355461708270013,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002350
case_bench_fmu-002327,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,13.6006487919949,43.23809827677283,43.23809827677283,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002327
case_bench_fmu-002352,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,False,2.6316049001179636,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002352
case_bench_fmu-002360,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,3.1135599478147924,6.379679552502482e-15,1.1986962617076869e-14,2.3153345504953964e-15,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002360
case_bench_fmu-002368,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.336397537961602,2.288495763529679e-17,1.560168661101028e-16,6.1595384727003104e-18,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002368
case_bench_fmu-002376,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,False,1.9332754341885448,,,,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002376
case_bench_fmu-002414,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.0734581560827792,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002414
case_bench_fmu-002351,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,False,False,True,6.752507326193154,26.4,80.64366063119903,1.0,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002351
case_bench_fmu-002410,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2635468170046806,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002410
case_bench_fmu-002384,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.2764858533628285,2.4665713542746886e-11,7.625284618363354e-11,3.0143129765399282e-05,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002384
case_bench_fmu-002422,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.165202079806477,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002422
case_bench_fmu-002418,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.5144600649364293,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002418
case_bench_fmu-002550,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,2.2972559169866145,0.07273835665401746,0.25552263319217094,0.028411667108221884,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002550
case_bench_fmu-002554,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.0325064770877361,0.37376237623762376,0.6103683354749778,0.3024189858049406,False,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002554
case_bench_fmu-002562,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.2063275682739913,0.00440901124496866,0.009657274213687676,0.00965771260816764,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002562
case_bench_fmu-002558,benchmark_single_fmu_case,simple,1,True,ablation_stage1_rule_template,True,True,True,1.5437781237997115,0.09306180476619247,0.14074090406296733,0.029453709465792427,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002558
case_bench_fmu-002452,benchmark_single_fmu_case,complex,1,True,ablation_stage1_rule_template,True,True,True,4.603855928871781,6.781304687748312e-09,9.185831251569275e-08,3.609201586188647e-08,True,,runs/raw/all13_rerun_20260322T144536Z_ablation_stage1_rule_template/case_bench_fmu-002452
